modeChosen, alternativesAvailable, numberOfTimes
walk, WALK:DRIVE_TRANSIT, 7
ride_hail, RIDE_HAIL:WALK:DRIVE_TRANSIT, 10
walk_transit, WALK:CAR:WALK_TRANSIT:DRIVE_TRANSIT, 14
walk, WALK:CAR, 7
walk_transit, RIDE_HAIL:WALK:CAR:WALK_TRANSIT, 83
walk, RIDE_HAIL:WALK:DRIVE_TRANSIT, 25
walk, RIDE_HAIL:WALK:WALK_TRANSIT:DRIVE_TRANSIT, 18
drive_transit, WALK:CAR:DRIVE_TRANSIT, 5
drive_transit, RIDE_HAIL:WALK:CAR:WALK_TRANSIT:DRIVE_TRANSIT, 1
walk, WALK, 325
walk, , 48
walk, CAR:WALK, 1
walk, RIDE_HAIL:WALK:CAR:WALK_TRANSIT:DRIVE_TRANSIT, 24
walk, RIDE_HAIL:WALK:CAR:WALK_TRANSIT, 55
walk, WALK:CAR:DRIVE_TRANSIT, 21
walk_transit, RIDE_HAIL:WALK:WALK_TRANSIT:DRIVE_TRANSIT, 41
ride_hail, RIDE_HAIL:WALK:CAR, 7
walk, RIDE_HAIL:WALK, 9
ride_hail, RIDE_HAIL:WALK:CAR:WALK_TRANSIT, 4
walk, WALK:WALK_TRANSIT, 1
walk, RIDE_HAIL:WALK:CAR:DRIVE_TRANSIT:WALK_TRANSIT, 31
walk_transit, RIDE_HAIL:CAR:DRIVE_TRANSIT:WALK_TRANSIT:WALK, 1
walk_transit, WALK:WALK_TRANSIT, 8
ride_hail, RIDE_HAIL:WALK, 3
walk, WALK:DRIVE_TRANSIT:WALK_TRANSIT, 5
walk, CAR:WALK_TRANSIT:WALK, 1
ride_hail, RIDE_HAIL:WALK:DRIVE_TRANSIT:WALK_TRANSIT, 4
drive_transit, RIDE_HAIL:WALK:CAR:DRIVE_TRANSIT:WALK_TRANSIT, 1
walk_transit, RIDE_HAIL:WALK:CAR:WALK_TRANSIT:WALK_TRANSIT, 2
walk, RIDE_HAIL:CAR:DRIVE_TRANSIT:WALK, 1
drive_transit, WALK:DRIVE_TRANSIT, 5
walk_transit, RIDE_HAIL:WALK:CAR:WALK_TRANSIT:DRIVE_TRANSIT, 151
walk, WALK:CAR:WALK_TRANSIT, 2
walk, WALK:CAR:WALK_TRANSIT:DRIVE_TRANSIT, 2
ride_hail, RIDE_HAIL:WALK:CAR:DRIVE_TRANSIT:WALK_TRANSIT, 17
ride_hail, RIDE_HAIL:WALK:WALK_TRANSIT, 1
drive_transit, WALK:CAR:DRIVE_TRANSIT:WALK_TRANSIT, 5
walk_transit, RIDE_HAIL:WALK_TRANSIT:DRIVE_TRANSIT:WALK, 2
walk_transit, WALK:CAR:WALK_TRANSIT, 8
ride_hail, RIDE_HAIL, 53
walk_transit, WALK:CAR:DRIVE_TRANSIT:WALK_TRANSIT, 9
walk, RIDE_HAIL:WALK:CAR:WALK_TRANSIT:WALK_TRANSIT:DRIVE_TRANSIT, 1
drive_transit, RIDE_HAIL:WALK:DRIVE_TRANSIT:WALK_TRANSIT, 5
walk, RIDE_HAIL:WALK:WALK_TRANSIT, 18
walk_transit, RIDE_HAIL:CAR:WALK_TRANSIT:DRIVE_TRANSIT:WALK, 1
walk_transit, RIDE_HAIL:WALK:DRIVE_TRANSIT:WALK_TRANSIT, 51
walk_transit, WALK:WALK_TRANSIT:DRIVE_TRANSIT, 3
ride_hail, RIDE_HAIL:WALK:CAR:DRIVE_TRANSIT, 15
walk_transit, WALK:DRIVE_TRANSIT:WALK_TRANSIT, 1
walk_transit, RIDE_HAIL:WALK:CAR:DRIVE_TRANSIT:WALK_TRANSIT, 198
walk, RIDE_HAIL:WALK:DRIVE_TRANSIT:WALK_TRANSIT, 19
walk, WALK:WALK_TRANSIT:DRIVE_TRANSIT, 5
walk, WALK:CAR:DRIVE_TRANSIT:WALK_TRANSIT, 2
walk_transit, RIDE_HAIL:WALK:WALK_TRANSIT, 19
walk, RIDE_HAIL:WALK:CAR, 18
ride_hail, RIDE_HAIL:WALK:CAR:WALK_TRANSIT:DRIVE_TRANSIT, 9
walk_transit, WALK_TRANSIT, 592
walk, RIDE_HAIL:WALK:CAR:DRIVE_TRANSIT, 52
