hours,car,drive_transit,others,ride_hail,walk,walk_transit
1,0,0,0,0,0,0
2,0,0,0,0,0,0
3,0,0,0,0,0,0
4,0,0,0,0,0,0
5,0,0,0,0,0,0
6,0,0,0,0,0,0
7,4,0,0,0,0,0
8,848,0,0,0,0,1
9,4676,0,0,11,40,7
10,2281,7,0,5,67,3
11,485,2,0,9,42,9
12,488,3,0,18,33,8
13,540,1,0,32,67,20
14,621,1,0,35,128,35
15,725,0,4,48,208,57
16,585,0,0,78,306,82
17,751,1,29,127,436,75
18,2109,2,0,177,367,88
19,2978,0,39,160,511,81
20,2481,0,0,169,643,90
21,1426,1,56,154,569,65
22,802,1,0,118,463,52
23,296,0,16,91,423,65
24,95,0,0,84,316,43
25,42,0,3,200,644,0
26,0,0,0,18,12,0
27,1,0,0,5,0,0
28,2,0,0,2,0,0
29,1,0,0,2,0,0
30,6,0,0,1,1,0
