hour,numPassengers,vkt
8,0,2982.417
8,1,14019.053000000002
9,0,2169.342
9,1,11507.659
10,0,589.136
10,1,21329.294
11,0,266.731
11,1,49754.94499999999
12,0,4847.902
12,1,81979.68300000002
13,0,9293.487000000003
13,1,76469.937
14,0,2779.032000000001
14,1,161644.71800000005
15,0,7957.493000000001
15,1,248576.738
16,0,12933.29
16,1,418728.66
17,0,25919.278999999995
17,1,669476.7110000001
18,0,21683.498999999993
18,1,744289.602
19,0,24830.23199999999
19,1,716781.3619999998
20,0,21653.560999999994
20,1,909372.1299999995
21,0,22596.52699999998
21,1,852712.0649999995
22,0,19750.882999999994
22,1,610508.6269999999
23,0,14016.071000000004
23,1,428272.2190000001
24,0,67115.10699999996
24,1,1167738.0400000005
25,0,10489.365999999998
25,1,444180.4699999997
26,0,9813.445
26,1,40502.26500000001
27,0,653.659
27,1,11872.437
28,0,2991.559
28,1,11156.081
29,0,2014.936
29,1,1542.181
