hours,car,drive_transit,others,ride_hail,walk,walk_transit
1,0,0,0,0,0,0
2,0,0,0,0,0,0
3,0,0,0,0,0,0
4,0,0,0,0,0,0
5,0,0,0,0,0,0
6,0,0,0,0,0,0
7,3,0,0,0,0,0
8,849,1,0,6,0,0
9,4697,7,0,15,85,21
10,2209,3,0,3,88,5
11,467,1,0,8,41,11
12,491,2,0,13,35,20
13,546,0,0,23,47,52
14,635,2,1,34,78,91
15,692,0,27,51,170,82
16,591,0,23,83,224,129
17,779,0,130,152,311,112
18,2173,2,34,211,238,115
19,2991,2,193,190,430,125
20,2443,0,42,184,535,89
21,1374,0,108,201,469,86
22,718,0,13,176,383,69
23,285,0,70,135,349,59
24,73,0,2,115,271,22
25,41,0,8,217,555,0
26,0,0,0,25,24,0
27,0,0,0,6,0,0
28,2,0,0,5,0,0
29,0,0,0,0,0,0
30,8,0,0,1,0,0
