linkEfficiencyInPercentage,linkEfficiencyRounded,numberOfLinks
0.5611386921658074,1,1
1.7877362354981285,2,1
0.6881520848310125,1,1
9.906886925678835,10,1
0.25487159270779847,0,1
2.5369548792064416,3,1
0.5020088654840432,1,1
0.08488342905148363,0,1
0.36917980263680417,0,1
1.2598474600068137,1,1
0.0436305004828916,0,1
0.24696500625762352,0,1
0.1764745214290739,0,1
0.06630237876477031,0,1
0.5413237214365062,1,1
0.5998167079942922,1,1
1.3231206779966471,1,1
0.3326871324972729,0,1
0.8809850827432821,1,1
0.2543017318520938,0,1
0.3497129115825963,0,1
5.348897557459116,5,1
0.7430752019963035,1,1
0.16860440890718723,0,1
15.353718308137971,15,1
0.22623431371212332,0,1
0.10874147763222144,0,1
0.015610403163080117,0,1
0.5663692066878218,1,1
2.9740141282347468,3,1
1.3714672911866042,1,1
0.9977843609387341,1,1
39.573381092407296,40,1
0.4700814856334661,0,1
4.587581333759359,5,1
0.16977214285714287,0,1
0.027391846153846162,0,1
0.39294998680512233,0,1
36.99132111442098,37,1
2.0370092155634807,2,1
4.9391229769366465,5,1
0.46117238825554896,0,1
0.4025308016751083,0,2
0.11758344827586208,0,1
0.30511336592120725,0,1
1.0895159206402205,1,1
0.15468597875493117,0,1
0.7631683868225856,1,1
0.0495691484883338,0,1
5.899541663015563,6,1
0.47364281260567676,0,1
1.9424424474729851,2,1
0.11622913358335099,0,1
0.34313530380149865,0,1
0.2633465828431145,0,1
0.027432626905981687,0,1
1.9120931840105655,2,1
0.5319952514427758,1,1
0.2461425505287057,0,1
0.518292257602732,1,1
0.2995212302377711,0,1
0.6904174204968937,1,1
0.6719014916502947,1,1
71.21607058595785,71,1
4.6948003050484255,5,1
0.207180786884829,0,1
0.5637706618031285,1,1
0.39145172221544894,0,1
0.056359783783783785,0,1
0.4205977404403244,0,1
0.09205060289056431,0,1
0.5092141442074214,1,1
0.6511125851895356,1,1
0.9338537125327963,1,1
0.5963723206791011,1,1
0.016830143517903087,0,1
0.21793321883715797,0,1
1.180008117028524,1,1
0.034529328912679784,0,1
0.1337280132143167,0,1
100.00000000023563,100,2
0.25449331294710253,0,1
88.35257755775481,88,1
2.3452338107001767,2,1
4.8330336614060405,5,1
0.010895699910574092,0,1
1.3923756915212286,1,1
0.05937852435542673,0,1
0.6904201109374021,1,1
0.7145233534717554,1,1
0.2372855684579781,0,1
77.41681510630254,77,1
8.59269663028005,9,1
3.5641274831440315,4,1
0.5736987949819558,1,1
0.1358133089320378,0,3
0.2457303268714218,0,1
0.19820087705846381,0,1
0.24851476234127484,0,1
1.6116639136298374,2,1
0.711307601660011,1,1
0.1628874584365537,0,1
0.3104882032531839,0,1
2.6006443579153333,3,1
0.06354118592733755,0,1
0.33017715414378584,0,1
0.15723978787524245,0,1
0.22199983095898995,0,1
0.21432626855105524,0,1
0.29672073413240896,0,1
39.94549367150154,40,1
1.0356558507694298,1,1
0.4038972269687422,0,1
26.417267821782175,26,1
0.009795600032148294,0,1
1.3003561826004488,1,1
0.5263073684210525,1,1
1.28928367105197,1,1
0.22999902057711255,0,1
0.5951261744683192,1,1
83.81598428509682,84,1
0.19064757152209486,0,1
0.6734086469730816,1,1
0.4096771402235068,0,1
1.3770354664429834,1,1
2.5176857459164523,3,1
0.022385205746311594,0,1
0.27879849646090776,0,1
1.0469657849943497,1,1
0.7139994966718997,1,1
1.98212671204181,2,1
1.7408213422913648,2,1
0.8066156878286163,1,1
6.119442106614467,6,1
0.03811931347209894,0,1
0.4802999999999999,0,5
2.4314759976263427,2,1
9.83504558813876,10,1
0.2004671913550218,0,1
82.84568530019736,83,1
1.8690864271622805,2,1
0.10406997025963644,0,1
0.17214812521447806,0,1
0.32961300442733155,0,1
1.6023966567400225,2,1
0.618305201820771,1,1
0.20084553303054845,0,1
0.11263674409482613,0,1
0.030246717230414756,0,1
0.6342453629593802,1,1
0.46128875006623044,0,1
90.5441715585457,91,1
0.25211354505617234,0,1
93.06065990482124,93,1
0.21450069354058435,0,1
0.5328069595133358,1,1
2.2256228854767053,2,1
1.1425918882464647,1,1
0.1226368609598032,0,1
73.40166859087499,73,1
0.7477783501349208,1,1
0.26052899305384597,0,1
11.256430358228247,11,1
0.20164702460472106,0,1
1.5433500300024592,2,1
0.23552272326167836,0,1
0.193415262889498,0,1
0.47595216793837414,0,1
0.30055649939210777,0,1
