Bin,AverageLinkSpeed
0,0,100.0
1,1,100.0
2,2,100.0
3,3,100.0
4,4,100.0
5,5,100.0
6,6,99.99999999999999
7,7,99.98612767395065
8,8,95.55730680700205
9,9,88.25886507354656
10,10,88.51216102700877
11,11,88.71492149160481
12,12,89.15063309447554
13,13,89.35129105084447
14,14,88.78461310250341
15,15,89.16873911391924
16,16,89.18127545831513
17,17,89.11670564751344
18,18,87.23712722678601
19,19,86.77076817467257
20,20,85.7000794862349
21,21,86.11074113557677
22,22,86.62729632123028
23,23,86.81624427269836
24,24,87.21541570587344
25,25,87.61137493795145
26,26,88.19262613745235
27,27,88.7361124991753
28,28,89.72884650306223
29,29,91.84519205029027
30,30,100.0
