personId,x,y,actType
100-2012000325210-06178,-96.72138610111013,43.583726200243014,Home
100-2012000325210-06178,-96.71780921405403,43.55506158514624,Secondary
100-2012000325210-06178,-96.72138610111013,43.583726200243014,Home
100-2012000325210-06216,-96.72138610111013,43.583726200243014,Home
100-2012000325210-06216,-96.70394851991719,43.56234674834774,Secondary
100-2012000325210-06216,-96.72138610111013,43.583726200243014,Home
100-2012000559396-010896,-96.7187583491081,43.575929917147576,Home
100-2012000559396-010896,-96.71702570019747,43.54581555002403,Secondary
100-2012000559396-010896,-96.7187583491081,43.575929917147576,Home
100-2012000559396-010949,-96.7187583491081,43.575929917147576,Home
100-2012000559396-010949,-96.71780921405403,43.55506158514624,Work
100-2012000559396-010949,-96.7187583491081,43.575929917147576,Home
100-2012000559396-011002,-96.7187583491081,43.575929917147576,Home
100-2012000559396-011002,-96.72127900015683,43.551869700018145,Secondary
100-2012000559396-011002,-96.7187583491081,43.575929917147576,Home
100-2012000559396-011055,-96.7187583491081,43.575929917147576,Home
100-2012000559396-011055,-96.73899815002483,43.56329326463856,Secondary
100-2012000559396-011055,-96.7187583491081,43.575929917147576,Home
100-2012000559396-011108,-96.7187583491081,43.575929917147576,Home
100-2012000559396-011108,-96.71647409823332,43.56211173649175,Secondary
100-2012000559396-011108,-96.7187583491081,43.575929917147576,Home
100-2012000559396-011161,-96.7187583491081,43.575929917147576,Home
100-2012000559396-011161,-96.71779550033406,43.54663545259909,Secondary
100-2012000559396-011161,-96.7187583491081,43.575929917147576,Home
100-2012000559396-011214,-96.7187583491081,43.575929917147576,Home
100-2012000559396-011214,-96.73133380702902,43.5619509518302,Secondary
100-2012000559396-011214,-96.7187583491081,43.575929917147576,Home
100-2012000559396-011267,-96.7187583491081,43.575929917147576,Home
100-2012000559396-011267,-96.71779550033406,43.54663545259909,Secondary
100-2012000559396-011267,-96.7187583491081,43.575929917147576,Home
100-2012000559396-011320,-96.7187583491081,43.575929917147576,Home
100-2012000559396-011320,-96.71779550033406,43.54663545259909,Secondary
100-2012000559396-011320,-96.7187583491081,43.575929917147576,Home
100-2014000728802-076263,-96.721366300649,43.58649055006643,Home
100-2014000728802-076263,-96.72127900015683,43.551869700018145,Secondary
100-2014000728802-076263,-96.721366300649,43.58649055006643,Home
100-2014001217922-087811,-96.74370719922635,43.563445671495245,Home
100-2014001217922-087811,-96.73347629942549,43.54599037065211,Work
100-2014001217922-087811,-96.74370719922635,43.563445671495245,Home
100-2014001404766-090700,-96.70395229981048,43.601907356076694,Home
100-2014001404766-090700,-96.7038189641896,43.58024307716523,Work
100-2014001404766-090700,-96.70395229981048,43.601907356076694,Home
