hour,numPassengers,vkt
7,0,1012.234
7,1,7056.601000000001
8,0,431.906
8,1,25386.497000000003
9,0,705.326
9,1,4472.048
10,0,452.245
10,1,19132.188000000002
11,0,208.49599999999998
11,1,49038.255999999994
12,0,6795.697000000001
12,1,69469.525
13,0,5045.2119999999995
13,1,98908.04199999999
14,0,2751.2609999999995
14,1,190770.29100000006
15,0,5779.287
15,1,259014.0869999999
16,0,16040.863000000007
16,1,567053.4759999998
17,0,28336.821000000004
17,1,712456.3750000003
18,0,16715.623999999996
18,1,816352.3720000007
19,0,17269.597999999994
19,1,798863.0289999997
20,0,26605.82000000001
20,1,807223.3459999998
21,0,21763.74999999999
21,1,1019851.623
22,0,16923.225000000006
22,1,608563.982
23,0,19705.658999999996
23,1,460125.7960000001
24,0,73941.00699999994
24,1,1366382.6359999992
25,0,8696.182
25,1,250958.6030000001
26,0,2672.2599999999998
26,1,31170.9
27,0,1638.5529999999999
27,1,11819.699
28,0,4248.772
28,1,19676.014
