hours,car,drive_transit,others,ride_hail,walk,walk_transit
1,0,0,0,0,0,0
2,0,0,0,0,0,0
3,0,0,0,0,0,0
4,0,0,0,0,0,0
5,0,0,0,0,0,0
6,0,0,0,0,0,0
7,3,0,0,0,0,0
8,834,0,0,6,0,0
9,4665,7,0,9,77,6
10,2285,2,0,5,73,4
11,476,3,0,7,44,6
12,470,2,0,15,44,7
13,540,0,0,32,66,24
14,618,1,0,37,129,47
15,709,3,5,61,209,53
16,601,0,0,79,299,84
17,759,0,39,135,422,85
18,2106,2,0,201,363,84
19,2979,2,49,158,507,90
20,2484,1,0,163,619,96
21,1423,1,50,174,584,62
22,757,0,0,138,461,58
23,294,0,20,105,397,59
24,90,0,0,91,303,46
25,45,0,5,203,613,0
26,0,0,0,11,13,0
27,0,0,0,3,1,0
28,1,0,0,3,0,0
29,1,0,0,2,0,0
30,7,0,0,0,1,0
