modeChosen, alternativesAvailable, numberOfTimes
walk, WALK:DRIVE_TRANSIT, 1
ride_hail, RIDE_HAIL:WALK:DRIVE_TRANSIT, 2
walk_transit, WALK:CAR:WALK_TRANSIT:DRIVE_TRANSIT, 2
walk_transit, RIDE_HAIL:WALK:CAR:WALK_TRANSIT, 9
walk, RIDE_HAIL:WALK:DRIVE_TRANSIT, 4
drive_transit, WALK:CAR:DRIVE_TRANSIT, 5
walk, , 66
walk, RIDE_HAIL:WALK:CAR:WALK_TRANSIT:DRIVE_TRANSIT, 3
walk, WALK, 620
walk, RIDE_HAIL:WALK:CAR:WALK_TRANSIT, 7
walk, WALK:CAR:DRIVE_TRANSIT, 2
walk_transit, RIDE_HAIL:WALK:WALK_TRANSIT:DRIVE_TRANSIT, 1
ride_hail, RIDE_HAIL:WALK:CAR:WALK_TRANSIT, 1
walk, RIDE_HAIL:WALK:CAR:DRIVE_TRANSIT:WALK_TRANSIT, 2
walk_transit, WALK:WALK_TRANSIT, 1
ride_hail, RIDE_HAIL:WALK:DRIVE_TRANSIT:WALK_TRANSIT, 1
walk_transit, RIDE_HAIL:WALK:CAR:WALK_TRANSIT:WALK_TRANSIT, 1
drive_transit, WALK:DRIVE_TRANSIT, 4
walk_transit, RIDE_HAIL:WALK:CAR:WALK_TRANSIT:DRIVE_TRANSIT, 17
ride_hail, RIDE_HAIL:WALK:CAR:DRIVE_TRANSIT:WALK_TRANSIT, 1
drive_transit, WALK:CAR:DRIVE_TRANSIT:WALK_TRANSIT, 4
ride_hail, RIDE_HAIL, 114
walk_transit, WALK:CAR:DRIVE_TRANSIT:WALK_TRANSIT, 2
walk, RIDE_HAIL:WALK:WALK_TRANSIT, 1
drive_transit, RIDE_HAIL:WALK:DRIVE_TRANSIT:WALK_TRANSIT, 1
walk_transit, RIDE_HAIL:WALK:DRIVE_TRANSIT:WALK_TRANSIT, 2
ride_hail, RIDE_HAIL:WALK:CAR:DRIVE_TRANSIT, 1
walk_transit, RIDE_HAIL:WALK:CAR:DRIVE_TRANSIT:WALK_TRANSIT, 15
walk, RIDE_HAIL:WALK:DRIVE_TRANSIT:WALK_TRANSIT, 1
walk_transit, RIDE_HAIL:WALK:WALK_TRANSIT, 2
walk, WALK:CAR:DRIVE_TRANSIT:WALK_TRANSIT, 1
walk, RIDE_HAIL:WALK:CAR, 2
ride_hail, RIDE_HAIL:WALK:CAR:WALK_TRANSIT:DRIVE_TRANSIT, 1
walk_transit, WALK_TRANSIT, 1116
walk, RIDE_HAIL:WALK:CAR:DRIVE_TRANSIT, 6
