hour,numPassengers,vkt
7,0,10951.261999999995
7,1,38435.13799999999
8,0,18097.638999999996
8,1,44163.101
9,0,3698.5110000000004
9,1,28231.292
10,0,0.0
10,1,0.0
11,0,1913.646
11,1,18418.76
12,0,6430.376
12,1,17448.343
13,0,754.3119999999999
13,1,10290.662
14,0,1429.4
14,1,10908.517
15,0,3506.437
15,1,27579.711
16,0,3813.4970000000003
16,1,15558.283000000003
17,0,11613.521999999999
17,1,107694.761
18,0,19648.549000000003
18,1,120850.70400000001
19,0,2202.652
19,1,67451.07700000002
20,0,4602.500000000001
20,1,20997.107
