hours,0,1-9,10-18,19-27,28-36
1,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0
6,217.0,0.0,0.0,0.0,0.0
7,755.0,0.0,0.0,0.0,0.0
8,569.0,43.0,3.0,0.0,0.0
9,225.0,402.0,68.0,21.0,9.0
10,292.0,333.0,12.0,0.0,0.0
11,354.0,189.0,0.0,0.0,0.0
12,341.0,174.0,33.0,0.0,0.0
13,327.0,215.0,12.0,0.0,0.0
14,299.0,236.0,33.0,0.0,0.0
15,267.0,288.0,24.0,0.0,0.0
16,267.0,212.0,0.0,0.0,0.0
17,370.0,365.0,4.0,0.0,0.0
18,177.0,482.0,53.0,2.0,0.0
19,234.0,499.0,44.0,25.0,0.0
20,171.0,187.0,4.0,0.0,0.0
21,70.0,121.0,4.0,1.0,0.0
22,115.0,15.0,0.0,0.0,0.0
