hours,car,drive_transit,others,ride_hail,walk,walk_transit
1,0,0,0,0,0,0
2,0,0,0,0,0,0
3,0,0,0,0,0,0
4,0,0,0,0,0,0
5,0,0,0,0,0,0
6,0,0,0,0,0,0
7,4,0,0,0,0,0
8,842,0,0,0,0,0
9,4701,6,0,11,80,9
10,2226,5,0,5,79,3
11,478,1,0,8,44,7
12,477,2,0,14,39,9
13,530,1,0,33,65,27
14,629,1,0,38,128,59
15,719,2,3,44,194,61
16,586,2,0,81,296,92
17,756,0,53,133,414,80
18,2085,1,0,187,369,91
19,2993,1,71,182,502,89
20,2497,0,1,154,656,91
21,1372,0,80,179,554,61
22,741,2,0,134,471,59
23,307,0,26,104,412,59
24,73,0,0,89,295,37
25,45,0,9,213,600,0
26,0,0,0,9,12,0
27,0,0,0,4,1,0
28,2,0,0,3,0,0
29,0,0,0,2,0,0
30,8,0,0,1,1,0
