timeBin,TAZ,avgWait,medianWait,numberOfPickups,avgPoolingDelay,numberOfPooledPickups
16,477.0,0.0,0.0,1,0,0
20,477.0,0.0,0.0,2,0,0
18,477.0,1.5,1.5,2,0,0
19,477.0,0.0,0.0,1,0,0
16,420.0,3.0,3.0,1,0,0
16,311.0,0.0,0.0,2,0,0
18,311.0,287.5,287.5,2,0,0
17,311.0,618.0,618.0,2,0,0
24,357.0,70.0,70.0,2,0,0
24,311.0,41.0,41.0,1,0,0
23,357.0,56.0,56.0,1,0,0
19,311.0,33.0,33.0,1,0,0
18,357.0,0.0,0.0,1,0,0
28,311.0,742.0,742.0,1,0,0
20,248.0,0.0,0.0,1,0,0
24,455.0,2.0,2.0,1,0,0
16,300.0,42.6,30.0,5,0,0
15,300.0,80.0,80.0,1,0,0
14,346.0,18.0,18.0,1,0,0
18,300.0,30.0,30.0,9,0,0
17,300.0,56.5,30.0,10,0,0
11,346.0,18.0,18.0,1,0,0
10,346.0,68.0,68.0,1,0,0
24,346.0,207.0,207.0,1,0,0
24,300.0,247.0,247.0,1,0,0
23,346.0,11.0,11.0,1,0,0
20,300.0,30.0,30.0,1,0,0
19,300.0,30.0,30.0,2,0,0
22,300.0,67.5,67.5,2,0,0
21,300.0,0.0,0.0,2,0,0
17,444.0,3.0,3.0,1,0,0
13,444.0,63.5,63.5,2,0,0
9,311.0,105.0,105.0,1,0,0
18,444.0,0.0,0.0,1,0,0
15,290.0,0.0,0.0,1,0,0
19,290.0,164.5,164.5,2,0,0
18,290.0,73.0,73.0,1,0,0
24,479.0,0.0,0.0,1,0,0
23,335.0,0.0,0.0,1,0,0
24,335.0,5.0,5.0,2,0,0
21,335.0,0.0,0.0,1,0,0
22,335.0,0.0,0.0,1,0,0
20,335.0,0.0,0.0,2,0,0
14,479.0,0.0,0.0,1,0,0
15,479.0,0.0,0.0,1,0,0
11,479.0,0.0,0.0,1,0,0
21,479.0,0.0,0.0,1,0,0
18,479.0,0.0,0.0,1,0,0
16,479.0,0.0,0.0,2,0,0
17,479.0,0.0,0.0,2,0,0
14,422.0,0.0,0.0,2,0,0
15,422.0,0.0,0.0,1,0,0
16,422.0,0.0,0.0,3,0,0
17,422.0,0.0,0.0,3,0,0
13,422.0,0.0,0.0,1,0,0
8,335.0,84.0,84.0,1,0,0
18,422.0,4.0,4.0,4,0,0
19,422.0,8.0,8.0,3,0,0
20,422.0,4.0,4.0,2,0,0
18,359.0,0.0,0.0,1,0,0
17,359.0,75.0,75.0,1,0,0
16,359.0,424.5,424.5,2,0,0
15,359.0,0.0,0.0,1,0,0
21,457.0,0.0,0.0,3,0,0
20,457.0,13.0,13.0,2,0,0
23,457.0,27.0,27.0,1,0,0
16,457.0,2.0,2.0,1,0,0
19,457.0,8.666666666666666,0.0,3,0,0
18,457.0,0.0,0.0,1,0,0
16,302.0,14.0,14.0,1,0,0
25,446.0,748.5,748.5,2,0,0
24,446.0,0.5,0.0,6,0,0
12,302.0,0.0,0.0,1,0,0
27,446.0,64.0,64.0,1,0,0
22,302.0,45.0,45.0,2,0,0
21,302.0,63.0,63.0,1,0,0
24,302.0,107.0,107.0,3,0,0
17,302.0,14.0,18.0,5,0,0
20,302.0,32.5,32.5,2,0,0
