hours,car,drive_transit,others,ride_hail,walk,walk_transit
1,0,0,0,0,0,0
2,0,0,0,0,0,0
3,0,0,0,0,0,0
4,0,0,0,0,0,0
5,0,0,0,0,0,0
6,0,0,0,0,0,0
7,4,0,0,0,0,0
8,845,1,0,3,0,0
9,4711,2,0,18,99,9
10,2189,3,0,5,87,7
11,469,2,0,10,46,6
12,486,1,0,15,36,16
13,532,3,0,25,62,41
14,611,2,0,30,106,85
15,698,2,10,52,184,81
16,607,3,11,69,270,120
17,751,1,99,158,350,105
18,2082,3,7,193,302,117
19,3031,2,124,194,463,116
20,2439,0,10,189,572,101
21,1376,1,98,188,547,80
22,717,0,2,150,423,68
23,275,0,39,136,347,70
24,96,0,0,112,279,35
25,35,0,2,224,569,0
26,0,0,0,20,24,0
27,0,0,0,4,1,0
28,2,0,0,5,0,0
29,0,0,0,0,0,0
30,7,0,0,0,0,0
