route_id,start_time,end_time,headway_secs,exact_times
1340,25200,36000,180,0
1341,25200,36000,180,0
1342,25200,36000,180,0
1343,25200,36000,180,0
1344,25200,36000,180,0
1345,25200,36000,180,0
1346,25200,36000,180,0
1347,25200,36000,180,0
1348,25200,36000,180,0
1349,25200,36000,180,0
1350,25200,36000,180,0
1351,25200,36000,180,0
1340,61200,72000,180,0
1341,61200,72000,180,0
1342,61200,72000,180,0
1343,61200,72000,180,0
1344,61200,72000,180,0
1345,61200,72000,180,0
1346,61200,72000,180,0
1347,61200,72000,180,0
1348,61200,72000,180,0
1349,61200,72000,180,0
1350,61200,72000,180,0
1351,61200,72000,180,0
