hour,numPassengers,vkt
7,0,15.885
7,1,4949.074
8,0,173.459
8,1,35461.636
9,0,1102.789
9,1,5987.431999999999
10,0,523.247
10,1,31179.593
11,0,229.55700000000002
11,1,45903.534999999996
12,0,2228.4539999999997
12,1,68258.803
13,0,16696.721
13,1,115917.86099999999
14,0,4001.071
14,1,155373.17500000002
15,0,6193.228999999998
15,1,206647.94700000004
16,0,15192.874000000003
16,1,476412.8459999999
17,0,18212.914
17,1,637169.3690000002
18,0,20520.324999999993
18,1,693270.2539999994
19,0,20045.174
19,1,769249.837
20,0,14989.638
20,1,620427.244
21,0,21785.254999999986
21,1,867315.4149999996
22,0,14829.323000000002
22,1,576283.4469999999
23,0,18493.325
23,1,427556.7730000003
24,0,56763.67699999998
24,1,1276715.7999999993
25,0,14959.231999999998
25,1,407779.23299999995
26,0,7349.651
26,1,80221.447
27,0,1405.067
27,1,18868.362999999998
28,0,0.0
28,1,8450.202
29,0,2991.559
29,1,3659.776
