hours,car,drive_transit,others,ride_hail,walk,walk_transit
1,0,0,0,0,0,0
2,0,0,0,0,0,0
3,0,0,0,0,0,0
4,0,0,0,0,0,0
5,0,0,0,0,0,0
6,0,0,0,0,0,0
7,4,0,0,0,0,0
8,837,0,0,4,0,1
9,4626,5,0,12,78,6
10,2286,2,0,9,86,0
11,474,0,0,9,48,4
12,471,0,0,19,40,4
13,549,0,0,36,60,13
14,629,0,0,36,138,34
15,701,3,0,50,216,46
16,603,0,0,71,322,71
17,752,0,27,132,449,74
18,2062,3,0,171,398,68
19,2958,1,30,164,541,81
20,2481,0,0,148,654,75
21,1407,1,60,148,604,55
22,802,1,1,116,476,47
23,314,2,29,91,441,55
24,96,0,0,93,306,39
25,44,0,8,190,657,0
26,0,0,0,18,14,0
27,1,0,0,6,0,0
28,0,0,0,2,0,0
29,1,0,0,1,0,0
30,8,0,0,0,2,0
