Bin,AverageLinkSpeed
0,0,100.0
1,1,100.0
2,2,100.0
3,3,100.0
4,4,100.0
5,5,100.0
6,6,100.0
7,7,99.99019410227001
8,8,95.31346740266643
9,9,87.66157160375477
10,10,88.5540998311913
11,11,88.79844577599513
12,12,88.73392057182554
13,13,88.79858617200311
14,14,88.67679823937831
15,15,88.6344888307943
16,16,88.7871792031702
17,17,88.55484439579979
18,18,87.25805505695328
19,19,86.30321892894405
20,20,85.47686171122389
21,21,86.29607087216101
22,22,86.77095854484128
23,23,87.50378185842223
24,24,87.80846955742986
25,25,88.52119830753747
26,26,88.64933281373237
27,27,89.27342106188645
28,28,89.88766030588819
29,29,92.09725540291149
30,30,100.0
