WaitingTime,Hour,Count
2.0,1,0
2.0,2,0
2.0,3,0
2.0,4,0
2.0,5,0
2.0,6,0
2.0,7,0
2.0,8,2
2.0,9,12
2.0,10,3
2.0,11,8
2.0,12,15
2.0,13,26
2.0,14,32
2.0,15,46
2.0,16,73
2.0,17,112
2.0,18,144
2.0,19,142
2.0,20,124
2.0,21,139
2.0,22,78
2.0,23,77
2.0,24,64
2.0,25,95
2.0,26,2
2.0,27,2
2.0,28,2
2.0,29,0
2.0,30,0
2.0,31,0
5.0,1,0
5.0,2,0
5.0,3,0
5.0,4,0
5.0,5,0
5.0,6,0
5.0,7,0
5.0,8,1
5.0,9,0
5.0,10,2
5.0,11,2
5.0,12,0
5.0,13,2
5.0,14,5
5.0,15,6
5.0,16,12
5.0,17,21
5.0,18,20
5.0,19,19
5.0,20,24
5.0,21,27
5.0,22,24
5.0,23,21
5.0,24,19
5.0,25,28
5.0,26,1
5.0,27,1
5.0,28,0
5.0,29,0
5.0,30,0
5.0,31,0
10.0,1,0
10.0,2,0
10.0,3,0
10.0,4,0
10.0,5,0
10.0,6,0
10.0,7,0
10.0,8,0
10.0,9,0
10.0,10,1
10.0,11,0
10.0,12,0
10.0,13,1
10.0,14,2
10.0,15,0
10.0,16,4
10.0,17,8
10.0,18,16
10.0,19,6
10.0,20,11
10.0,21,12
10.0,22,16
10.0,23,7
10.0,24,5
10.0,25,73
10.0,26,6
10.0,27,0
10.0,28,0
10.0,29,2
10.0,30,0
10.0,31,0
20.0,1,0
20.0,2,0
20.0,3,0
20.0,4,0
20.0,5,0
20.0,6,0
20.0,7,0
20.0,8,0
20.0,9,0
20.0,10,0
20.0,11,0
20.0,12,0
20.0,13,2
20.0,14,4
20.0,15,0
20.0,16,0
20.0,17,1
20.0,18,8
20.0,19,4
20.0,20,7
20.0,21,5
20.0,22,8
20.0,23,3
20.0,24,4
20.0,25,13
20.0,26,0
20.0,27,0
20.0,28,0
20.0,29,0
20.0,30,0
20.0,31,0
30.0,1,0
30.0,2,0
30.0,3,0
30.0,4,0
30.0,5,0
30.0,6,0
30.0,7,0
30.0,8,0
30.0,9,0
30.0,10,0
30.0,11,0
30.0,12,0
30.0,13,3
30.0,14,1
30.0,15,1
30.0,16,0
30.0,17,0
30.0,18,1
30.0,19,1
30.0,20,4
30.0,21,0
30.0,22,1
30.0,23,0
30.0,24,2
30.0,25,3
30.0,26,0
30.0,27,0
30.0,28,0
30.0,29,1
30.0,30,0
30.0,31,0
60.0,1,0
60.0,2,0
60.0,3,0
60.0,4,0
60.0,5,0
60.0,6,0
60.0,7,0
60.0,8,0
60.0,9,0
60.0,10,0
60.0,11,0
60.0,12,0
60.0,13,0
60.0,14,0
60.0,15,0
60.0,16,0
60.0,17,0
60.0,18,0
60.0,19,0
60.0,20,0
60.0,21,0
60.0,22,0
60.0,23,1
60.0,24,0
60.0,25,4
60.0,26,1
60.0,27,0
60.0,28,0
60.0,29,0
60.0,30,0
60.0,31,0
60+,1,0
60+,2,0
60+,3,0
60+,4,0
60+,5,0
60+,6,0
60+,7,0
60+,8,0
60+,9,0
60+,10,0
60+,11,0
60+,12,0
60+,13,0
60+,14,0
60+,15,0
60+,16,0
60+,17,0
60+,18,0
60+,19,0
60+,20,0
60+,21,0
60+,22,0
60+,23,0
60+,24,0
60+,25,0
60+,26,0
60+,27,0
60+,28,0
60+,29,0
60+,30,0
60+,31,0
