hours,car,drive_transit,others,ride_hail,walk,walk_transit
1,0,0,0,0,0,0
2,0,0,0,0,0,0
3,0,0,0,0,0,0
4,0,0,0,0,0,0
5,0,0,0,0,0,0
6,0,0,0,0,0,0
7,4,0,0,0,0,0
8,828,1,0,3,3,1
9,4666,2,0,12,74,8
10,2234,7,0,6,96,4
11,481,3,0,10,43,14
12,486,1,0,15,42,10
13,540,0,0,34,69,16
14,620,1,0,44,133,44
15,694,2,0,53,207,52
16,609,0,0,89,308,80
17,750,1,20,142,416,89
18,2103,0,1,189,381,76
19,2988,3,45,172,523,79
20,2426,1,2,170,637,90
21,1451,1,57,183,559,59
22,740,0,0,127,485,55
23,286,1,17,109,425,60
24,92,0,0,94,304,32
25,43,0,6,216,612,0
26,0,0,0,10,12,0
27,1,0,0,3,1,0
28,1,0,0,2,0,0
29,1,0,0,3,0,0
30,8,0,0,0,2,0
