Bin,AverageLinkSpeed
0,0,100.0
1,1,100.0
2,2,100.0
3,3,100.0
4,4,99.99999999999999
5,5,99.99999999999999
6,6,100.0
7,7,99.9894566154106
8,8,95.58951203862067
9,9,88.03559462064085
10,10,88.08590733622363
11,11,88.45421348623012
12,12,88.59479375376658
13,13,88.87143256002666
14,14,89.34357984864668
15,15,89.57282065080176
16,16,89.38793573601103
17,17,88.99059245209378
18,18,87.45250479308544
19,19,85.9648867724572
20,20,86.10936855361183
21,21,86.1867334135082
22,22,86.62068079086957
23,23,87.04740045155769
24,24,87.09635175443394
25,25,87.9202362167985
26,26,88.51067334670194
27,27,88.55244886976354
28,28,89.68513324863582
29,29,91.17710062217184
30,30,100.0
