hour,numPassengers,vkt
7,0,33.21
7,1,2433.633
8,0,585.602
8,1,36585.195999999996
9,0,1701.0279999999998
9,1,6541.829
10,0,1152.0269999999998
10,1,26018.686
11,0,387.802
11,1,45680.705
12,0,1662.869
12,1,65547.197
13,0,23354.222999999987
13,1,88758.165
14,0,4742.311000000001
14,1,196228.537
15,0,8815.059000000005
15,1,253737.93800000002
16,0,18227.23699999999
16,1,526878.5359999997
17,0,28775.99099999998
17,1,736868.4749999997
18,0,17911.912999999993
18,1,820286.799
19,0,28100.844999999994
19,1,908908.8659999996
20,0,21949.180999999993
20,1,918276.1769999997
21,0,28158.183999999972
21,1,912458.9269999996
22,0,20826.336
22,1,648861.3339999998
23,0,19516.64799999999
23,1,516196.3840000002
24,0,83855.38399999998
24,1,1319032.2379999992
25,0,7532.637999999999
25,1,435882.6079999999
26,0,787.552
26,1,49791.276
27,0,147.854
27,1,5245.626
28,0,7021.349
28,1,9784.641
29,0,0.0
29,1,9268.524
