personId,age,isFemale,householdId,householdRank,excludedModes,valueOfTime
010100-2012000596480-0-179581,54,true,010100-2012000596480-0,2,"",6.874485205579872
010100-2012000596480-0-179582,47,false,010100-2012000596480-0,3,"",12.85188984592928
010100-2012000596480-0-179583,12,false,010100-2012000596480-0,4,"",6.578099469193193
010100-2012000596480-0-179584,12,true,010100-2012000596480-0,1,"",10.271017933263295
010100-2012000596480-0-179585,1,true,010100-2012000596480-0,0,"",5.488594755333143
010100-2013001163188-0-6030634,33,false,010100-2013001163188-0,0,"",8.333014553040783
010100-2013001257089-0-3994384,89,false,010100-2013001257089-0,0,"",6.269637623242931
010200-2012000376103-0-1067089,87,true,010200-2012000376103-0,0,"",16.19100626060273
010200-2012000376103-0-1067090,91,false,010200-2012000376103-0,0,"",6.902867887184946
010200-2012000700304-0-6796853,24,true,010200-2012000700304-0,3,"",7.721028407342045
010200-2012000700304-0-6796854,22,false,010200-2012000700304-0,1,"",7.160739931311644
010200-2012000700304-0-6796855,2,true,010200-2012000700304-0,3,"",10.168070250082895
010200-2012000700304-0-6796856,9,true,010200-2012000700304-0,1,"",9.740399142520122
010200-2013001027012-0-6531295,54,false,010200-2013001027012-0,2,"",4.378035944459225
010200-2013001027012-0-6531296,47,true,010200-2013001027012-0,2,"",18.067030369484588
010200-2013001027012-0-6531297,3,false,010200-2013001027012-0,2,"",7.770128895138383
010200-2013001407490-0-7050876,68,false,010200-2013001407490-0,0,"",9.613797198258869
010200-2014000809809-0-2848285,20,false,010200-2014000809809-0,0,"",7.5504196648007795
010200-2014000909482-0-1831503,39,true,010200-2014000909482-0,0,"",12.788969063835072
010200-2014000909482-0-1831504,56,true,010200-2014000909482-0,0,"",9.979681017681887
010200-2014001327621-0-7815204,22,false,010200-2014001327621-0,1,"",4.1188874744674795
010200-2014001327621-0-7815205,46,false,010200-2014001327621-0,2,"",9.648133842851246
010200-2014001327621-0-7815206,27,false,010200-2014001327621-0,1,"",13.36613583435132
010200-2015000371606-0-7177832,33,true,010200-2015000371606-0,0,"",7.076692048348212
010200-2015000371606-0-7177833,26,false,010200-2015000371606-0,1,"",4.867751524998688
010200-2015000933737-0-54139,61,false,010200-2015000933737-0,1,"",8.567964446563353
010200-2015000933737-0-54140,36,true,010200-2015000933737-0,2,"",18.140168917500418
010200-2015000933737-0-54141,7,false,010200-2015000933737-0,1,"",4.629598334400083
010200-2016000706643-1-3866913,93,false,010200-2016000706643-1,0,"",8.45421219174682
010400-2012000203588-0-7039277,40,true,010400-2012000203588-0,0,"",6.816766193132531
010400-2012000203588-0-7039278,46,false,010400-2012000203588-0,2,"",10.998589781014577
010400-2012000203588-0-7039279,31,false,010400-2012000203588-0,3,"",3.881477787042639
010400-2012000203588-0-7039280,0,false,010400-2012000203588-0,0,"",7.839039401463025
010400-2012000203588-0-7039281,3,false,010400-2012000203588-0,3,"",7.964334891931682
010400-2012000546598-0-1958234,88,false,010400-2012000546598-0,0,"",6.013442611017677
010400-2012001111568-1-1195213,32,true,010400-2012001111568-1,0,"",13.76136813030659
