hour,numPassengers,vkt
7,0,33.177
7,1,0.0
8,0,246.75699999999998
8,1,30924.608
9,0,89.77499999999999
9,1,8157.919
10,0,480.969
10,1,17948.091
11,0,258.005
11,1,48257.501000000004
12,0,5101.459
12,1,68150.248
13,0,12500.197
13,1,90267.65699999999
14,0,3448.1009999999997
14,1,131179.21699999998
15,0,7782.109999999998
15,1,265553.335
16,0,19628.277999999988
16,1,584290.124
17,0,18056.45799999999
17,1,675462.962
18,0,29628.42999999996
18,1,736679.5380000002
19,0,20096.02299999999
19,1,642076.7820000001
20,0,21589.802999999993
20,1,764247.243
21,0,30079.197999999993
21,1,806843.824
22,0,18415.124
22,1,669313.4509999999
23,0,11309.212000000005
23,1,424736.81599999993
24,0,75064.24799999996
24,1,1327104.72
25,0,7359.768999999999
25,1,386174.5999999999
26,0,713.548
26,1,35474.725
27,0,147.854
27,1,10415.771
28,0,6005.448
28,1,12242.297999999999
29,0,1257.213
29,1,10209.727
