hours,car,drive_transit,others,ride_hail,walk,walk_transit
1,0,0,0,0,0,0
2,0,0,0,0,0,0
3,0,0,0,0,0,0
4,0,0,0,0,0,0
5,0,0,0,0,0,0
6,0,0,0,0,0,0
7,4,0,0,0,0,0
8,816,0,0,6,0,0
9,4667,2,0,12,84,12
10,2264,6,0,6,76,0
11,489,0,0,9,46,6
12,465,0,0,14,36,8
13,544,0,0,33,60,15
14,640,0,0,41,125,39
15,713,1,0,49,224,52
16,598,0,0,84,296,74
17,756,0,27,147,433,75
18,2053,0,0,186,378,81
19,2993,3,23,171,541,88
20,2461,0,1,158,638,82
21,1402,2,50,159,587,58
22,803,0,2,141,485,52
23,296,0,15,91,435,57
24,90,0,0,96,298,32
25,45,0,4,199,645,0
26,0,0,0,14,13,0
27,1,0,0,4,1,0
28,1,0,0,4,0,0
29,1,0,0,1,0,0
30,8,0,0,1,1,0
