linkId,euclidean,length
0,129.567668,129.161000
1,129.567668,129.161000
10,89.592702,89.613000
100,132.860487,132.887000
1000,325.587472,324.518000
1001,325.587472,324.518000
1002,399.987284,398.673000
1003,399.987284,398.673000
1004,230.718503,230.557000
1005,230.718503,230.557000
1006,83.481525,83.210000
1007,83.481525,83.210000
1008,170.385202,170.430000
1009,170.385202,170.430000
101,132.860487,132.887000
1010,343.101681,343.193000
1011,343.101681,343.193000
1012,188.738111,188.778000
1013,188.738111,188.778000
1014,409.563887,409.659000
1015,409.563887,409.659000
1016,281.480199,280.561000
1017,281.480199,280.561000
1018,106.096802,105.747000
1019,106.096802,105.747000
102,9.768134,9.737000
1020,145.562395,145.598000
1021,145.562395,145.598000
1022,404.459540,403.134000
1023,404.459540,403.134000
1024,136.183615,136.219000
1025,136.183615,136.219000
1026,32.555305,32.450000
1027,32.555305,32.450000
1028,395.108361,393.814000
1029,395.108361,393.814000
103,9.768134,9.737000
1030,373.793799,373.880000
1031,373.793799,373.880000
1032,205.640459,205.032000
1033,205.640459,205.032000
1034,473.822056,472.270000
1035,473.822056,472.270000
1036,11.010399,11.011000
1037,11.010399,11.011000
1038,390.706448,390.809000
1039,390.706448,390.809000
104,21.656672,21.644000
1040,301.619938,301.665000
1041,301.619938,301.665000
1042,141.781714,141.819000
1043,141.781714,141.819000
1044,269.188818,268.244000
1045,269.188818,268.244000
1046,402.507966,402.601000
1047,402.507966,402.601000
1048,405.706235,405.802000
1049,405.706235,405.802000
105,21.656672,21.644000
1050,14.955467,14.937000
1051,14.955467,14.937000
1052,432.011061,431.660000
1053,432.011061,431.660000
1054,13.303134,13.266000
1055,13.303134,13.266000
1056,329.966940,328.893000
1057,329.966940,328.893000
1058,63.166196,62.959000
1059,63.166196,62.959000
106,242.780811,242.847000
1060,66.999512,66.780000
1061,66.999512,66.780000
1062,64.997423,65.009000
1063,64.997423,65.009000
1064,16.965917,16.966000
1065,16.965917,16.966000
1066,108.778029,108.648000
1067,108.778029,108.648000
