Component Name,Weight,Z-Mean,Z-StdDev,Raw Score,Weighted Score
Accessibility: number of work locations accessible by car within 15 minutes,1.0,0.972,0.045,1.0,0.6222222222222228
Accessibility: number of work locations accessible by transit within 15 minutes,1.0,1.022,0.029,1.0,-0.758620689655173
Accessibility: number of secondary locations accessible by car within 15 minutes,1.0,0.998,0.005,1.0,0.40000000000000036
Accessibility: number of secondary locations accessible by transit within 15 minutes,1.0,0.998,0.003,1.0,0.6666666666666673
Sustainability: Total grams GHGe Emissions,1.0,1.005,0.04,0.3066336390689555,-17.45915902327611
Equity: average travel cost burden - work,1.0,0.728,0.179,0.002519288232652046,-4.052964870208648
Level of service: costs and benefits,1.0,1.808,1.673,0.058968320474446764,-1.045446311730755
Equity: average travel cost burden -  secondary,1.0,1.203,0.375,0.0021875268776501236,-3.202166594992933
Congestion: average vehicle delay per passenger trip,1.0,1.054,0.101,0.052694110666452874,-9.913919696371753
Level of service: average bus crowding experienced,1.0,1.023,0.061,5.541550616778151,74.07460027505167
Sustainability: Total grams PM 2.5 Emitted,1.0,1.022,0.036,0.0,-28.388888888888893
Submission Score,,,,,0.9947566444378450363636363636363636
