hours,car,drive_transit,others,ride_hail,walk,walk_transit
1,0,0,0,0,0,0
2,0,0,0,0,0,0
3,0,0,0,0,0,0
4,0,0,0,0,0,0
5,0,0,0,0,0,0
6,0,0,0,0,0,0
7,4,0,0,0,0,0
8,806,0,0,4,2,0
9,4602,4,1,13,91,13
10,2276,5,0,8,105,0
11,507,1,0,9,43,6
12,467,1,0,18,43,3
13,534,0,0,32,71,7
14,623,1,0,41,141,31
15,698,2,0,53,214,42
16,592,1,0,86,329,61
17,750,2,18,126,465,52
18,2009,7,0,164,419,70
19,2977,2,31,163,586,68
20,2401,1,0,149,665,68
21,1474,1,38,154,636,60
22,778,1,0,118,503,49
23,309,0,20,79,446,46
24,99,0,0,74,333,40
25,48,0,3,181,683,0
26,0,0,0,24,13,0
27,1,0,0,7,0,0
28,0,0,0,2,0,0
29,1,0,0,1,1,0
30,7,0,0,0,0,0
