hour,numPassengers,vkt
7,0,65.223
7,1,0.0
8,0,214.037
8,1,29490.259
9,0,200.96699999999996
9,1,10589.177
10,0,2864.348
10,1,29079.746
11,0,426.13999999999993
11,1,41586.13799999999
12,0,8548.607
12,1,60253.996
13,0,13537.419000000005
13,1,89876.943
14,0,3287.9930000000004
14,1,177161.33999999997
15,0,4893.853999999999
15,1,250709.24100000007
16,0,14587.711000000005
16,1,506659.3610000001
17,0,16985.747000000025
17,1,770265.7220000005
18,0,22883.513999999977
18,1,878909.4570000006
19,0,26010.58099999998
19,1,932032.8189999993
20,0,20227.567999999996
20,1,949788.5039999996
21,0,21125.84799999999
21,1,921545.3809999994
22,0,20359.809
22,1,900188.4540000001
23,0,17729.331000000002
23,1,512203.8099999999
24,0,78988.25300000001
24,1,1489123.3660000006
25,0,12135.250999999997
25,1,396109.3820000001
26,0,2419.485
26,1,61315.736
27,0,1661.347
27,1,9223.636999999999
28,0,4265.964
28,1,13904.444000000001
29,0,0.011
29,1,6088.423
