hours,car,drive_transit,others,ride_hail,walk,walk_transit
1,0,0,0,0,0,0
2,0,0,0,0,0,0
3,0,0,0,0,0,0
4,0,0,0,0,0,0
5,0,0,0,0,0,0
6,0,0,0,0,0,0
7,4,0,0,0,0,0
8,821,0,0,3,0,0
9,4721,5,0,11,86,12
10,2229,7,0,9,76,4
11,456,3,0,10,39,7
12,491,0,0,14,31,15
13,550,2,0,33,61,33
14,608,7,0,40,104,71
15,692,3,22,52,189,55
16,601,2,3,70,279,114
17,751,2,74,154,385,101
18,2082,4,1,187,329,111
19,3023,2,88,174,490,114
20,2455,3,3,185,598,99
21,1383,2,82,172,548,65
22,748,2,0,145,437,79
23,272,0,49,126,392,52
24,93,0,0,96,299,26
25,39,0,8,206,581,0
26,1,0,0,16,13,0
27,1,0,0,5,1,0
28,2,0,0,4,0,0
29,0,0,0,1,0,0
30,7,0,0,1,1,0
