rideHailAgentID,xCoord,yCoord
rideHailAgent-1002-2013000787397-048072,679119.1901711765,4822677.0405673385
rideHailAgent-1101-2016000760827-0142893,680622.4240843889,4819623.91370173
rideHailAgent-1803-2013000802673-148554,686965.6379084912,4819009.759123447
rideHailAgent-1500-2013000663329-245802,682479.2190423519,4822619.92342841
rideHailAgent-1106-2013001390857-158611,678445.5566217963,4822657.772921612
rideHailAgent-1002-2012000805694-015624,678803.8748887319,4823548.008340676
rideHailAgent-405-2012000889468-018106,687140.8023722176,4823853.5184398
rideHailAgent-10600-2014000159546-165190,682231.8751234001,4822670.087977036
rideHailAgent-401-2014000228364-066764,686407.1629671588,4826013.711029814
rideHailAgent-700-2015001196834-0117958,683020.883006672,4824245.547570465
rideHailAgent-405-2014000079080-162981,687169.0927003284,4823613.439933726
rideHailAgent-10102-2016001223046-2151717,679422.5234539352,4819399.690275398
rideHailAgent-10405-2015000189392-094738,679268.9561632763,4827926.295616524
rideHailAgent-10102-2012000845031-016985,680720.8538720573,4819418.849355445
rideHailAgent-1108-2015000242580-095858,678911.3176954091,4819542.90076014
rideHailAgent-408-2013000889474-049483,687279.1955995484,4825196.542085022
rideHailAgent-1001-2016000647792-0140557,679049.3219623643,4823451.384407152
rideHailAgent-10401-2012000871125-017864,687152.3126692264,4820599.568241922
rideHailAgent-1803-2016000401357-0133636,686912.7185012922,4819335.439353813
rideHailAgent-407-2016000246130-0130167,687067.8031804818,4822868.738085607
rideHailAgent-1108-2015000189392-094714,679152.1372920328,4820147.390449358
rideHailAgent-1001-2015000804471-0108125,678851.7701814709,4823210.016887931
rideHailAgent-1108-2016001412423-0154729,678529.7256957669,4819461.544169171
rideHailAgent-201-2015001431732-0123062,681441.5491405402,4825348.384970539
rideHailAgent-405-2013000128353-032451,686853.5490077055,4824384.55267036
rideHailAgent-1804-2016000778909-0143828,686828.331149775,4820582.800279456
rideHailAgent-600-2014000392422-069927,684207.718937992,4823680.364081854
rideHailAgent-1700-2015000884043-0111892,685170.1048425451,4821006.584525089
rideHailAgent-1106-2014001489850-091519,678351.6624021259,4820818.944223066
rideHailAgent-1107-2012000341159-06662,678358.4457452513,4820928.099714211
rideHailAgent-1105-2015000712347-2104861,678633.5127736448,4819565.258072306
rideHailAgent-10102-2013000190262-234182,680261.9352206995,4819116.1777790915
rideHailAgent-700-2012001106989-022283,683502.3070892596,4824255.922153696
rideHailAgent-406-2013000369969-038529,686935.4020809907,4823754.605460891
rideHailAgent-10600-2012001236897-024169,681721.7391863854,4821275.93515804
rideHailAgent-1002-2016001121006-0149491,678688.6685006385,4822644.429282019
rideHailAgent-1002-2016000262140-0130891,680447.2620428652,4822272.882906435
rideHailAgent-10600-2014001194700-087287,682289.2900630153,4822990.143005174
rideHailAgent-700-2012001372968-027122,683437.4678475632,4823792.465331007
rideHailAgent-600-2016000389885-0133206,684088.0024579214,4822818.95426088
rideHailAgent-600-2014000987574-081400,683360.5939743205,4822940.286033566
rideHailAgent-1801-2016000327234-0132085,686669.0779944499,4820844.253122126
rideHailAgent-1105-2013000920118-050374,678696.8403613558,4820205.401350397
rideHailAgent-1200-2012000056418-0620,680878.7192534168,4820664.673577855
rideHailAgent-1101-2015000810401-1108301,680402.9799411977,4819514.20028828
rideHailAgent-900-2016000523072-0137217,681289.2679823439,4823893.687343572
rideHailAgent-700-2014001231792-088122,683309.206262091,4823486.770344325
rideHailAgent-1002-2015000879933-0111738,678773.894027496,4823173.739104524
rideHailAgent-1700-2012001287756-025079,685475.6412512513,4821323.909279281
rideHailAgent-600-2013001421275-059462,683947.3012356648,4822929.809112322
rideHailAgent-1902-2013000486183-141716,685735.4236129744,4821297.31749363
rideHailAgent-10102-2013000270445-036217,681736.7113494274,4819583.81501283
rideHailAgent-10600-2016001223046-0152065,682199.7801266478,4822368.082426487
rideHailAgent-1106-2013000270445-036215,678522.5570821502,4820901.032162762
rideHailAgent-201-2015001028643-0114689,682610.0937591022,4824962.914191744
