Bin,AverageLinkSpeed
0,0,100.0
1,1,100.0
2,2,100.0
3,3,100.0
4,4,100.0
5,5,100.0
6,6,100.0
7,7,99.97926242992729
8,8,92.23726134452106
9,9,88.06457103219286
10,10,88.85061661894636
11,11,88.59941143206834
12,12,89.02593604729503
13,13,89.4045813415685
14,14,89.93322607411848
15,15,90.5176375713653
16,16,90.5227287458156
17,17,89.86716980837618
18,18,86.90668529815201
19,19,86.37142581918566
20,20,86.90200560462526
21,21,87.44264400396158
22,22,88.02363706604729
23,23,88.41378845595116
24,24,88.8117596544108
25,25,89.68708449889235
26,26,89.79184830409875
27,27,90.17209801510381
28,28,90.9361988229366
29,29,92.57771113692345
30,30,100.0
