WaitingTime,Hour,Count
2.0,1,0
2.0,2,0
2.0,3,0
2.0,4,0
2.0,5,0
2.0,6,0
2.0,7,0
2.0,8,2
2.0,9,23
2.0,10,37
2.0,11,92
2.0,12,57
2.0,13,116
2.0,14,116
2.0,15,143
2.0,16,145
2.0,17,143
2.0,18,187
2.0,19,119
2.0,20,121
2.0,21,118
2.0,22,79
2.0,23,54
2.0,24,22
2.0,25,4
2.0,26,1
2.0,27,0
2.0,28,0
2.0,29,0
2.0,30,0
2.0,31,0
5.0,1,0
5.0,2,0
5.0,3,0
5.0,4,0
5.0,5,0
5.0,6,0
5.0,7,0
5.0,8,1
5.0,9,2
5.0,10,4
5.0,11,15
5.0,12,31
5.0,13,19
5.0,14,40
5.0,15,55
5.0,16,52
5.0,17,46
5.0,18,36
5.0,19,37
5.0,20,41
5.0,21,39
5.0,22,44
5.0,23,25
5.0,24,12
5.0,25,5
5.0,26,0
5.0,27,0
5.0,28,0
5.0,29,0
5.0,30,0
5.0,31,0
10.0,1,0
10.0,2,0
10.0,3,0
10.0,4,0
10.0,5,0
10.0,6,0
10.0,7,0
10.0,8,0
10.0,9,1
10.0,10,6
10.0,11,6
10.0,12,11
10.0,13,23
10.0,14,35
10.0,15,27
10.0,16,36
10.0,17,32
10.0,18,26
10.0,19,25
10.0,20,34
10.0,21,32
10.0,22,46
10.0,23,31
10.0,24,25
10.0,25,16
10.0,26,0
10.0,27,0
10.0,28,0
10.0,29,0
10.0,30,0
10.0,31,0
20.0,1,0
20.0,2,0
20.0,3,0
20.0,4,0
20.0,5,0
20.0,6,0
20.0,7,0
20.0,8,0
20.0,9,0
20.0,10,1
20.0,11,5
20.0,12,10
20.0,13,4
20.0,14,10
20.0,15,15
20.0,16,16
20.0,17,24
20.0,18,32
20.0,19,24
20.0,20,21
20.0,21,16
20.0,22,14
20.0,23,15
20.0,24,4
20.0,25,2
20.0,26,1
20.0,27,1
20.0,28,0
20.0,29,0
20.0,30,0
20.0,31,0
30.0,1,0
30.0,2,0
30.0,3,0
30.0,4,0
30.0,5,0
30.0,6,0
30.0,7,0
30.0,8,0
30.0,9,0
30.0,10,0
30.0,11,1
30.0,12,0
30.0,13,2
30.0,14,2
30.0,15,8
30.0,16,4
30.0,17,6
30.0,18,0
30.0,19,2
30.0,20,4
30.0,21,8
30.0,22,5
30.0,23,4
30.0,24,2
30.0,25,4
30.0,26,3
30.0,27,0
30.0,28,0
30.0,29,0
30.0,30,0
30.0,31,0
60.0,1,0
60.0,2,0
60.0,3,0
60.0,4,0
60.0,5,0
60.0,6,0
60.0,7,0
60.0,8,0
60.0,9,0
60.0,10,0
60.0,11,0
60.0,12,0
60.0,13,1
60.0,14,4
60.0,15,1
60.0,16,0
60.0,17,4
60.0,18,3
60.0,19,6
60.0,20,6
60.0,21,1
60.0,22,4
60.0,23,1
60.0,24,0
60.0,25,3
60.0,26,0
60.0,27,0
60.0,28,0
60.0,29,0
60.0,30,0
60.0,31,0
60+,1,0
60+,2,0
60+,3,0
60+,4,0
60+,5,0
60+,6,0
60+,7,0
60+,8,0
60+,9,0
60+,10,0
60+,11,0
60+,12,0
60+,13,0
60+,14,0
60+,15,0
60+,16,0
60+,17,0
60+,18,0
60+,19,0
60+,20,0
60+,21,0
60+,22,0
60+,23,0
60+,24,0
60+,25,1
60+,26,0
60+,27,0
60+,28,0
60+,29,0
60+,30,0
60+,31,0
