hours,car,drive_transit,others,ride_hail,walk,walk_transit
1,0,0,0,0,0,0
2,0,0,0,0,0,0
3,0,0,0,0,0,0
4,0,0,0,0,0,0
5,0,0,0,0,0,0
6,0,0,0,0,0,0
7,4,0,0,0,0,0
8,862,0,0,5,0,1
9,4687,6,0,15,89,11
10,2224,1,0,7,67,4
11,474,1,0,10,41,10
12,482,2,0,14,28,23
13,544,0,0,29,44,37
14,633,0,0,34,89,80
15,709,3,30,52,181,83
16,604,2,9,80,232,116
17,768,0,108,158,334,109
18,2124,1,14,203,299,115
19,2988,1,144,187,441,120
20,2502,0,20,190,543,96
21,1370,1,93,197,508,68
22,720,0,4,164,412,83
23,286,0,35,135,352,69
24,77,0,0,114,277,28
25,41,0,8,225,552,0
26,0,0,0,16,29,0
27,1,0,0,6,0,0
28,2,0,0,3,0,0
29,0,0,0,1,0,0
30,8,0,0,1,1,0
