hour,numPassengers,vkt
7,0,423.80199999999996
7,1,0.0
8,0,404.654
8,1,38237.443
9,0,1053.4339999999997
9,1,16609.53
10,0,1166.242
10,1,35249.527
11,0,297.407
11,1,33229.659
12,0,1089.0580000000002
12,1,54636.83999999999
13,0,20334.891999999993
13,1,120297.55399999996
14,0,2880.204
14,1,189143.729
15,0,3631.2319999999986
15,1,337295.46599999996
16,0,16055.309000000008
16,1,577482.8740000001
17,0,18460.076000000015
17,1,926324.2720000005
18,0,23937.079999999976
18,1,1030822.082
19,0,34615.950000000004
19,1,1154801.064
20,0,28967.159
20,1,1178107.911999999
21,0,21215.723999999995
21,1,1091290.6609999998
22,0,22088.695999999996
22,1,891579.823
23,0,16941.16500000001
23,1,776894.304
24,0,46787.46199999999
24,1,1450647.516000001
25,0,16776.966
25,1,489571.25100000005
26,0,4392.314
26,1,123089.98
27,0,2778.823
27,1,17678.583
28,0,4272.1410000000005
28,1,12910.629
