hour,numPassengers,vkt
7,0,10.166
7,1,6309.283
8,0,110.372
8,1,18748.736
9,0,1041.245
9,1,7964.1759999999995
10,0,751.991
10,1,22842.689000000002
11,0,726.473
11,1,55895.09700000001
12,0,4791.672
12,1,90145.56999999996
13,0,7529.655000000002
13,1,93892.53400000001
14,0,3542.303999999999
14,1,170146.61800000005
15,0,12676.743
15,1,209016.05399999997
16,0,15144.669000000002
16,1,542479.138
17,0,19958.460000000003
17,1,573540.0939999998
18,0,28893.817
18,1,874736.1509999997
19,0,21603.272999999994
19,1,720217.5919999998
20,0,22164.996
20,1,674606.4389999998
21,0,24857.553999999982
21,1,780170.0889999998
22,0,18710.695999999993
22,1,677329.253
23,0,18186.117
23,1,369544.9829999999
24,0,79011.874
24,1,1132742.4419999993
25,0,11543.179
25,1,517762.61400000023
26,0,10595.672999999999
26,1,38090.03
27,0,390.528
27,1,12648.186
28,0,0.0
28,1,8131.347
29,0,5002.854
29,1,4519.317
