hours,car,drive_transit,others,ride_hail,walk,walk_transit
1,0,0,0,0,0,0
2,0,0,0,0,0,0
3,0,0,0,0,0,0
4,0,0,0,0,0,0
5,0,0,0,0,0,0
6,0,0,0,0,0,0
7,3,0,0,0,0,0
8,838,0,0,2,2,0
9,4642,7,0,9,67,7
10,2289,6,0,8,84,0
11,485,0,0,10,43,6
12,456,0,0,19,41,3
13,544,0,0,34,66,12
14,632,0,0,41,140,33
15,718,1,0,48,223,44
16,579,1,0,72,323,72
17,764,0,13,134,436,76
18,2050,4,0,176,408,71
19,3011,1,33,173,546,70
20,2415,1,0,146,639,82
21,1461,1,53,146,611,55
22,763,3,0,141,495,50
23,305,0,22,81,436,50
24,95,1,0,82,321,46
25,44,0,2,190,647,0
26,0,0,0,15,12,0
27,2,0,0,5,0,0
28,0,0,0,2,0,0
29,1,0,0,1,0,0
30,7,0,0,1,1,0
