hours,drive_transit,ride_hail,walk,walk_transit
1,0,0,0,0
2,0,0,0,0
3,0,0,0,0
4,0,0,0,0
5,0,0,0,0
6,0,0,0,0
7,0,0,0,0
8,1.9999999999999998,14.000000000000004,43.0,142.66666666666669
9,1.5,15.0,91.33333333333333,190.00000000000003
10,3.0,3.0,33.5,41.5
11,0,1.0,42.0,41.5
12,0,3.0,35.0,44.0
13,0.6666666666666666,4.666666666666666,61.0,32.0
14,0,0,20.0,51.66666666666667
15,0,3.0,41.0,66.0
16,0,4.0,36.0,61.0
17,1.6666666666666665,13.66666666666667,53.0,108.0
18,0,34.0,159.0,300.33333333333326
19,0,7.0,51.0,55.333333333333336
20,0,11.0,31.0,34.0
21,0,1.0,0,4.0
