trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint,start_service_area_id,end_service_area_id,start_service_area_radius,end_service_area_radius,continuous_pickup,continuous_drop_off,pickup_area_id,drop_off_area_id,pickup_service_area_radius,drop_off_service_area_radius
t_13118_b_219_tn_0,07:20:00,07:20:00,767253,1,,0,0,0,0,,,,,1,1,,,,
t_13118_b_219_tn_0,,,767291,2,,0,0,376.244493998896,0,,,,,1,1,,,,
t_13118_b_219_tn_0,,,767292,3,,0,0,846.862272313794,0,,,,,1,1,,,,
t_13118_b_219_tn_0,,,767293,4,,0,0,1209.72688792136,0,,,,,1,1,,,,
t_13118_b_219_tn_0,,,767294,5,,0,0,1438.53292833845,0,,,,,1,1,,,,
t_13118_b_219_tn_0,,,767295,6,,0,0,1855.90500408474,0,,,,,1,1,,,,
t_13118_b_219_tn_0,,,767296,7,,0,0,2479.57073666105,0,,,,,1,1,,,,
t_13118_b_219_tn_0,07:28:00,07:28:00,767297,8,,0,0,2766.88352593509,0,,,,,1,1,,,,
t_13118_b_219_tn_0,,,767298,9,,0,0,3216.96846632702,0,,,,,1,1,,,,
t_13118_b_219_tn_0,,,767299,10,,0,0,3530.84663638414,0,,,,,1,1,,,,
t_13118_b_219_tn_0,,,767300,11,,0,0,3733.10717855757,0,,,,,1,1,,,,
t_13118_b_219_tn_0,,,767301,12,,0,0,3993.9762855776,0,,,,,1,1,,,,
t_13118_b_219_tn_0,,,767302,13,,0,0,4471.96804359149,0,,,,,1,1,,,,
t_13118_b_219_tn_0,,,767303,14,,0,0,4841.19613413838,0,,,,,1,1,,,,
t_13118_b_219_tn_0,,,767304,15,,0,0,5246.7261362554,0,,,,,1,1,,,,
t_13118_b_219_tn_0,07:35:00,07:35:00,767305,16,,0,0,5826.60240642524,0,,,,,1,1,,,,
t_13118_b_219_tn_0,,,767306,17,,0,0,6134.25146973518,0,,,,,1,1,,,,
t_13118_b_219_tn_0,,,767307,18,,0,0,6472.49304487735,0,,,,,1,1,,,,
t_13118_b_219_tn_0,,,767308,19,,0,0,6758.54590793936,0,,,,,1,1,,,,
t_13118_b_219_tn_0,,,767269,20,,0,0,7594.58045903056,0,,,,,1,1,,,,
t_13118_b_219_tn_0,07:47:00,07:55:00,767270,21,,0,0,8345.23379632273,0,,,,,1,1,,,,
t_13118_b_219_tn_0,,,767309,22,,0,0,9067.53983414179,0,,,,,1,1,,,,
t_13118_b_219_tn_0,,,767310,23,,0,0,9509.30126294849,0,,,,,1,1,,,,
t_13118_b_219_tn_0,,,767311,24,,0,0,10315.1568766337,0,,,,,1,1,,,,
t_13118_b_219_tn_0,,,767312,25,,0,0,11283.4412157636,0,,,,,1,1,,,,
t_13118_b_219_tn_0,,,767313,26,,0,0,11750.6289926629,0,,,,,1,1,,,,
