iterations,car,drive_transit,others,ride_hail,walk,walk_transit
0,22632,0,8,7130,156,74
1,22592,23,58,6650,326,361
2,22578,31,79,6588,316,429
3,22534,55,163,6184,476,616
4,22538,57,329,5842,539,723
5,22537,44,395,5540,680,837
6,22462,90,517,5340,716,927
7,22437,93,539,5238,803,944
8,22503,68,575,4962,907,1027
9,22514,66,620,4852,971,1012
10,22432,93,740,4630,1111,1059
11,22468,94,668,4634,1067,1121
12,22430,104,756,4552,1169,1059
13,22484,62,757,4458,1238,1045
14,22452,93,735,4414,1259,1108
15,22462,86,723,4354,1332,1087
16,22488,74,748,4280,1331,1127
17,22470,85,664,4324,1357,1156
18,22484,72,708,4196,1442,1152
19,22492,73,761,4106,1499,1109
20,22448,94,792,4050,1548,1116
21,22455,83,751,4011,1618,1130
22,22508,53,722,3958,1630,1174
23,22502,64,712,3978,1638,1152
24,22498,58,833,3844,1707,1096
25,22479,91,760,3864,1714,1138
26,22464,84,788,3730,1818,1173
27,22524,48,782,3742,1845,1095
28,22492,69,788,3678,1860,1152
29,22454,89,795,3660,1876,1187
30,22462,86,805,3592,1965,1158
31,22538,43,780,3632,1942,1092
32,22468,82,768,3590,1978,1174
33,22548,45,712,3576,1986,1159
34,22534,52,771,3514,2011,1151
35,22498,68,784,3486,2014,1195
36,22528,53,743,3488,2043,1181
37,22506,63,780,3436,2075,1179
38,22510,71,762,3412,2089,1198
39,22504,65,799,3358,2166,1159
40,22536,50,748,3346,2212,1139
41,22486,72,849,3314,2154,1188
42,22458,92,748,3328,2217,1217
43,22438,102,778,3354,2255,1138
44,22474,82,769,3310,2258,1157
45,22496,71,743,3338,2285,1111
46,22532,50,695,3326,2258,1178
47,22530,48,730,3290,2313,1129
48,22405,115,847,3278,2297,1130
49,22518,60,743,3254,2339,1122
50,22498,80,768,3186,2399,1112
51,22464,83,720,3272,2366,1156
52,22518,61,730,3270,2331,1123
53,22492,67,711,3220,2412,1151
54,22467,78,723,3168,2452,1167
55,22539,46,639,3170,2500,1140
56,22492,71,793,3110,2465,1116
57,22492,71,693,3202,2491,1107
58,22516,55,668,3140,2510,1153
59,22529,59,687,3068,2537,1158
60,22474,82,705,3070,2562,1168
61,22480,80,706,3070,2583,1135
62,22515,62,632,3094,2578,1161
63,22492,77,678,3110,2613,1071
64,22384,130,734,3058,2616,1172
65,22478,80,727,3034,2613,1122
66,22420,103,708,3034,2677,1109
67,22444,100,702,3016,2688,1114
68,22486,66,590,3066,2708,1123
69,22518,58,615,3068,2658,1127
70,22530,58,642,3060,2687,1066
71,22420,98,648,3026,2767,1123
72,22524,64,567,3030,2725,1129
73,22461,90,639,2968,2748,1150
74,22481,74,651,2986,2773,1073
75,22432,104,647,2942,2806,1143
76,22454,88,596,2934,2867,1127
77,22413,117,656,2932,2831,1123
78,22452,93,615,2908,2869,1115
79,22490,78,623,2816,2951,1078
80,22448,100,567,2912,2909,1121
81,22468,79,628,2868,2944,1071
82,22482,78,634,2776,2973,1111
83,22506,64,626,2830,2936,1076
84,22438,101,647,2792,2991,1107
85,22446,101,622,2792,2998,1104
86,22500,74,596,2826,3029,1028
87,22472,91,623,2786,2967,1117
88,22440,96,600,2770,3070,1082
89,22490,84,529,2814,3030,1097
90,22411,120,651,2772,3033,1106
91,22476,91,562,2780,3079,1058
92,22430,106,601,2714,3095,1113
93,22502,77,531,2800,3070,1062
94,22460,92,532,2754,3086,1125
95,22528,54,499,2754,3113,1085
96,22468,95,526,2682,3205,1063
97,22476,91,535,2736,3099,1120
98,22495,71,499,2756,3111,1117
99,22486,77,439,2762,3168,1116
100,22482,83,546,2800,3100,1053
