iterations,car,drive_transit,ride_hail,walk,walk_transit
0,22632,0,7130,156,90
1,22592,24,6650,326,496
2,22578,31,6588,317,644
3,22534,62,6184,497,1060
4,22538,62,5842,582,1735
5,22537,45,5540,747,2261
6,22462,106,5340,803,2554
7,22437,123,5238,891,2596
8,22503,80,4962,1012,2800
9,22514,71,4852,1045,2887
10,22432,108,4630,1227,3706
11,22468,106,4634,1160,3369
12,22430,110,4552,1289,3658
13,22484,74,4458,1363,3771
14,22452,109,4414,1400,3795
15,22462,108,4354,1412,3442
16,22488,87,4280,1447,3809
17,22470,90,4324,1445,3445
18,22484,94,4196,1512,3302
19,22492,95,4106,1619,3758
20,22448,123,4050,1690,3998
21,22455,101,4011,1737,3852
22,22508,65,3958,1712,3519
23,22502,72,3978,1726,3432
24,22498,86,3844,1831,3978
25,22479,99,3864,1801,3736
26,22464,98,3732,1927,4152
27,22524,61,3742,1967,3713
28,22492,87,3678,1943,3615
29,22454,107,3660,2006,3890
30,22462,96,3592,2063,3925
31,22538,50,3632,2044,3887
32,22468,90,3590,2096,3993
33,22548,50,3576,2090,3607
34,22534,65,3514,2120,3786
35,22498,82,3486,2113,3942
36,22528,65,3488,2164,3684
37,22506,78,3436,2200,4008
38,22510,85,3412,2199,3952
39,22504,82,3358,2270,4149
40,22536,67,3346,2321,3570
41,22486,78,3314,2310,4164
42,22458,117,3328,2332,4030
43,22438,114,3354,2371,3911
44,22474,98,3310,2406,4084
45,22496,85,3338,2414,3634
46,22532,57,3326,2367,3716
47,22530,51,3290,2433,3554
48,22405,143,3278,2461,4177
49,22518,71,3254,2460,3849
50,22498,93,3186,2504,3660
51,22464,93,3272,2510,3716
52,22518,80,3270,2442,3576
53,22492,77,3220,2528,3485
54,22467,93,3168,2599,3731
55,22539,53,3170,2625,3504
56,22492,83,3110,2620,3866
57,22492,78,3202,2608,3353
58,22516,58,3140,2628,3536
59,22529,69,3068,2644,3355
60,22474,93,3070,2682,3677
61,22480,98,3070,2696,3421
62,22515,77,3094,2670,3345
63,22492,85,3110,2732,3357
64,22384,147,3058,2752,3833
65,22478,89,3034,2746,3595
66,22420,123,3034,2796,3639
67,22444,114,3016,2838,3707
68,22486,81,3066,2826,3192
69,22518,74,3068,2748,2926
70,22530,65,3060,2808,3238
71,22420,121,3026,2901,3530
72,22524,73,3030,2806,2864
73,22461,116,2968,2890,3320
74,22481,101,2986,2886,3170
75,22432,112,2942,2920,3470
76,22454,96,2934,2987,3284
77,22413,146,2932,2968,3430
78,22452,111,2908,2976,3224
79,22490,93,2816,3082,3167
80,22448,117,2912,3013,3031
81,22468,95,2868,3069,3231
82,22482,89,2776,3097,3306
83,22506,86,2830,3052,3179
84,22438,112,2792,3107,3300
85,22446,121,2792,3126,3150
86,22500,81,2826,3140,2926
87,22472,108,2786,3103,3221
88,22440,111,2770,3188,3120
89,22490,96,2814,3123,2863
90,22411,133,2772,3175,3340
91,22476,106,2780,3180,2814
92,22430,131,2714,3204,3091
93,22502,92,2800,3164,2704
94,22460,119,2754,3194,2924
95,22528,69,2754,3203,2517
96,22468,120,2682,3336,2985
97,22476,100,2736,3188,2730
98,22495,80,2756,3224,2811
99,22486,89,2762,3247,2367
100,22482,88,2800,3221,2836
