Iteration	BEGIN iteration	BEGIN iterationStartsListeners	END iterationStartsListeners	BEGIN replanning	END replanning	BEGIN beforeMobsimListeners	BEGIN dump all plans	END dump all plans	END beforeMobsimListeners	BEGIN mobsim	END mobsim	BEGIN afterMobsimListeners	END afterMobsimListeners	BEGIN scoring	END scoring	BEGIN iterationEndsListeners	END iterationEndsListeners	END iteration		iterationStartsListeners	replanning	dump all plans	beforeMobsimListeners	mobsim	afterMobsimListeners	scoring	iterationEndsListeners	iteration
0	04:35:16	04:35:16	04:35:17			04:35:17	04:35:17	04:35:17	04:35:17	04:35:17	04:35:48	04:35:48	04:35:48	04:35:48	04:35:48	04:35:48	04:35:59	04:35:59		00:00:00		00:00:00	00:00:00	00:00:30	00:00:00	00:00:00	00:00:11	00:00:42
1	04:35:59	04:35:59	04:35:59	04:35:59	04:36:00	04:36:00	04:36:00	04:36:00	04:36:00	04:36:00	04:36:15	04:36:15	04:36:15	04:36:15	04:36:15	04:36:15	04:36:24	04:36:24		00:00:00	00:00:00	00:00:00	00:00:00	00:00:14	00:00:00	00:00:00	00:00:09	00:00:25
2	04:36:24	04:36:24	04:36:25	04:36:25	04:36:25	04:36:25			04:36:25	04:36:25	04:36:39	04:36:39	04:36:39	04:36:39	04:36:39	04:36:39	04:36:48	04:36:48		00:00:00	00:00:00		00:00:00	00:00:13	00:00:00	00:00:00	00:00:09	00:00:24
3	04:36:48	04:36:48	04:36:49	04:36:49	04:36:49	04:36:49			04:36:49	04:36:49	04:37:04	04:37:04	04:37:04	04:37:04	04:37:04	04:37:04	04:37:13	04:37:13		00:00:00	00:00:00		00:00:00	00:00:14	00:00:00	00:00:00	00:00:09	00:00:25
4	04:37:13	04:37:13	04:37:14	04:37:14	04:37:14	04:37:14			04:37:14	04:37:14	04:37:28	04:37:28	04:37:29	04:37:29	04:37:29	04:37:29	04:37:38	04:37:38		00:00:00	00:00:00		00:00:00	00:00:14	00:00:00	00:00:00	00:00:09	00:00:24
5	04:37:38	04:37:38	04:37:39	04:37:39	04:37:39	04:37:39			04:37:39	04:37:39	04:37:53	04:37:53	04:37:53	04:37:53	04:37:53	04:37:53	04:38:03	04:38:03		00:00:00	00:00:00		00:00:00	00:00:14	00:00:00	00:00:00	00:00:09	00:00:24
6	04:38:03	04:38:03	04:38:03	04:38:03	04:38:03	04:38:03			04:38:03	04:38:03	04:38:18	04:38:18	04:38:18	04:38:18	04:38:18	04:38:18	04:38:29	04:38:29		00:00:00	00:00:00		00:00:00	00:00:15	00:00:00	00:00:00	00:00:10	00:00:26
7	04:38:29	04:38:29	04:38:29	04:38:29	04:38:29	04:38:29			04:38:29	04:38:29	04:38:44	04:38:44	04:38:44	04:38:44	04:38:44	04:38:44	04:38:53	04:38:53		00:00:00	00:00:00		00:00:00	00:00:14	00:00:00	00:00:00	00:00:09	00:00:24
8	04:38:53	04:38:53	04:38:53	04:38:53	04:38:54	04:38:54			04:38:54	04:38:54	04:39:08	04:39:08	04:39:08	04:39:08	04:39:08	04:39:08	04:39:18	04:39:18		00:00:00	00:00:00		00:00:00	00:00:14	00:00:00	00:00:00	00:00:09	00:00:24
9	04:39:18	04:39:18	04:39:18	04:39:18	04:39:18	04:39:18			04:39:18	04:39:18	04:39:33	04:39:33	04:39:33	04:39:33	04:39:33	04:39:33	04:39:44	04:39:44		00:00:00	00:00:00		00:00:00	00:00:15	00:00:00	00:00:00	00:00:10	00:00:26
10	04:39:44	04:39:44	04:39:44	04:39:44	04:39:44	04:39:44			04:39:44	04:39:44	04:39:59	04:39:59	04:39:59	04:39:59	04:39:59	04:39:59	04:40:09	04:40:09		00:00:00	00:00:00		00:00:00	00:00:14	00:00:00	00:00:00	00:00:10	00:00:25
