ITERATION	avg. EXECUTED	avg. WORST	avg. AVG	avg. BEST
0	-2.328462398590749	-2.328462398590749	-2.328462398590749	-2.328462398590749
1	-4.091727575964537	-4.2850813102907175	-3.738111278107133	-3.191141245923556
2	-3.450712619711569	-4.44451347637872	-3.7128358487288597	-2.9751658297435086
3	-3.5351575024042896	-5.186702706410255	-3.9055129374869026	-2.7652579331245652
4	-3.380657430653532	-5.500857923095188	-3.9655974361689315	-2.586281849410958
5	-3.826964015965752	-6.1199807577257825	-4.216231417552091	-2.618945980628421
6	-3.7716524897065393	-6.9363894320397295	-4.4418778206433185	-2.51781482603433
7	-3.382410303360487	-7.239165884939683	-4.493796433006595	-2.4150476554057154
8	-2.994437339101359	-7.166295545555498	-4.423549481595817	-2.2360181842200744
9	-3.1344911519074947	-7.291630141083743	-4.457610942664905	-2.2774789595640095
10	-3.3338113253894015	-7.5915524495840705	-4.540381933462545	-2.256336113503182
11	-3.095012300670535	-7.657772257069875	-4.519054264208216	-2.2195101790064395
12	-3.2837390518587433	-8.017547004779498	-4.454264048858485	-1.9915337047614705
13	-3.368603669701301	-7.644641725958248	-4.403769196903561	-2.0773309982948596
14	-3.0295174597780705	-7.580044397704582	-4.174906825018506	-1.971542091383084
15	-3.023789004670254	-6.867895285553527	-4.0062315505744195	-2.0338832292066216
16	-3.413307620646748	-6.5397911034221305	-3.9390532808174537	-2.188670056203869
17	-3.0967376101197557	-6.456312094387583	-3.7307520543117882	-1.7506616533174377
18	-3.026692812302158	-5.922770504322184	-3.6000903396840456	-2.083098184579196
19	-3.0712099571363223	-5.807095230290051	-3.484932191144961	-1.8839163961325833
20	-2.8598193739924236	-5.572967047500783	-3.329440220513508	-1.8020792175645575
21	-2.9627999634651445	-4.865241111069186	-3.1804904474790927	-1.8537096873634755
22	-2.9325488972552143	-5.12500573138572	-3.1620171473679197	-1.689728289572773
23	-2.76648196832847	-5.087268684226112	-3.167486675146702	-1.6789536524934823
24	-2.5095587685482745	-5.085008286888446	-3.0916438492633267	-1.5363698873815275
25	-2.5620081477334042	-5.036382334855299	-3.0448213753312534	-1.7275134906194292
26	-2.252127410281401	-4.636152423352612	-2.8981858533292812	-1.508003675999967
27	-2.1937426194551914	-4.397063897231827	-2.783083854061845	-1.5110804685632147
28	-2.575581775345595	-4.267629112142633	-2.7277813406939946	-1.5548771249341828
29	-2.563752891662205	-4.536502914605251	-2.788204492166342	-1.6442919483756122
30	-2.6427330025343023	-4.46018025692932	-2.8066486584135615	-1.598446550659051
31	-2.3227906606643973	-4.479489356540252	-2.779263275285074	-1.567433775550968
32	-2.561736645477539	-4.676810584995505	-2.78527417539644	-1.5220206746439753
33	-2.2265790508631205	-4.279410913827835	-2.6694454285665463	-1.557247475054241
34	-2.6925170536486944	-4.297512169577172	-2.696769673622623	-1.601865480602304
35	-2.54482429174124	-4.359931379805564	-2.693724957766665	-1.6817777285760254
36	-2.7950679126026743	-4.454354781380316	-2.742320421929263	-1.6474308539764553
37	-2.6673435094773197	-4.516001959207099	-2.8121351184503705	-1.6997468663865545
38	-2.33661938900732	-4.246551523983721	-2.7156744937600124	-1.5669035322590519
39	-2.5572774071148054	-4.308242412777851	-2.727672851616334	-1.561281836274447
40	-2.5649006445817597	-4.345720838711778	-2.748013027635629	-1.5216344329319291
41	-2.3373440175791846	-4.494280013574108	-2.738281287230735	-1.5404468089183345
42	-2.736932654022893	-4.564970019352903	-2.790620826017863	-1.5872334793419325
43	-2.3617327117933886	-4.3744581939189935	-2.7391744045979185	-1.5631712059053138
44	-2.754415287097012	-4.571441368996647	-2.7996417357712517	-1.555666397601932
45	-2.5724486179349615	-4.446512414766294	-2.7462565424300687	-1.4981150858023298
46	-2.8701046189472064	-4.547347735650197	-2.7694216953818764	-1.6724914831759004
47	-2.5960933940985793	-4.370594301351888	-2.709945104929121	-1.6427989774777365
48	-2.860292638347257	-4.316512771481254	-2.7354854764201146	-1.6364261798656754
49	-2.3792449033576237	-4.211549415149745	-2.6991799469144846	-1.6395012291028748
50	-2.891389521088366	-4.411922170002852	-2.7452168065920337	-1.581827549947762
51	-2.819097254700359	-4.03122758156063	-2.7113555874175357	-1.630849312883768
52	-2.396538017554169	-3.938397221199849	-2.688614145667229	-1.6265828578689974
53	-2.7639025394314025	-4.082161540773305	-2.7511418666994447	-1.7372908168756147
54	-2.592410352316931	-4.063818731392961	-2.7205523004826695	-1.6977375523783993
55	-2.518765800545729	-4.15277906553058	-2.7129399188207577	-1.6872013566632296
56	-2.579549863469885	-4.1320430385407265	-2.7282149048706774	-1.697576468230884
57	-2.8572193523833556	-4.204757921858695	-2.7863088467243387	-1.6815319560005273
58	-2.8412729809446966	-4.40075674763927	-2.834588301110233	-1.7645707413195215
59	-3.0005293418174728	-4.532429589350736	-2.8967949484487483	-1.6460559685453084
60	-3.182720292739618	-4.607925989439792	-2.9974869285240455	-1.6612671439706395
61	-2.4808003853163165	-4.672629644208723	-2.9292656587904897	-1.6197318239948637
62	-2.752472586527045	-4.877027285996713	-2.8891516629277127	-1.6269544118950672
63	-2.2936973124737867	-4.5685832349447875	-2.8415483137362854	-1.649486952573183
64	-2.407567349505772	-4.551960857917879	-2.804360387204287	-1.6091935473625927
65	-2.9500421071940894	-4.516075143555185	-2.874059808356992	-1.690631567731949
66	-2.7177460541763483	-4.632049525886687	-2.8838638121146114	-1.5747990195371524
67	-3.0558242122497834	-4.752295142511465	-2.950306538083757	-1.708697277810015
68	-2.6437620269560336	-4.363242027119117	-2.8829463259689945	-1.7166331256629488
69	-2.834765433922527	-4.2118162657896905	-2.9024801984238455	-1.7356206860198438
70	-3.0748337213544823	-4.54913094962195	-3.0167077950203	-1.9564358388929786
71	-3.032500526262035	-4.370414341570601	-3.009262348052499	-1.9145708605403202
72	-2.6517226209874187	-4.63925128791102	-3.08262817441008	-1.853167110554732
73	-2.755880823744768	-4.81242928176822	-3.1477858009068655	-1.8635209190063187
74	-2.464423296414494	-4.827583019690642	-3.0944846826774413	-1.7106051613622457
75	-2.810707513902883	-5.217934487662695	-3.174203679885408	-1.6247045591860618
76	-3.2565124718475444	-5.371615719933308	-3.2358689380085686	-1.625731523111107
77	-2.7059722291986965	-4.914345102460449	-3.1276674696302194	-1.655094799029478
78	-2.8352387132300017	-5.037504453582651	-3.154435858207629	-1.8487231344331425
79	-2.482936339425357	-4.705195600478903	-3.0491234069580413	-1.7317936390426223
80	-2.4478401478465788	-4.647493481033418	-3.011278794871736	-1.817723547253671
81	-2.981814416021005	-4.978001235127051	-3.088029552773472	-1.7417625063877595
82	-2.460192418950327	-5.0700504701837446	-3.0540133167093613	-1.7326350990088224
83	-2.656464594938789	-4.751667407890296	-2.9940606772327287	-1.7022711735916363
84	-3.2838388036076958	-4.9890025213358	-3.113197849282816	-1.6901800443740762
85	-2.7469289940403256	-5.051393008849863	-3.139886437531336	-1.771437018294277
86	-2.8135973456217176	-4.884865286632907	-3.121248493375797	-1.7458442009531054
87	-2.6327323388444555	-5.054834348658313	-3.0888317217350374	-1.8119041097548068
88	-2.843749770382334	-4.905729415609182	-3.0258082736705063	-1.744587653991601
89	-2.852708254438645	-4.8628836166372205	-3.0124781369912492	-1.8284424062048035
90	-3.2656988223046266	-4.740008104335262	-3.040744359428525	-1.8789315686157555
91	-2.525401016619177	-4.485045913446455	-2.947321680085208	-1.8319503285673824
92	-3.2653284200979833	-4.625938648587803	-3.0423866256609484	-1.8687663797154137
93	-2.788617992560901	-4.544531786613405	-3.0037029032351477	-1.7449677615363455
94	-2.9563504232463913	-4.75065183895867	-3.036374090827054	-1.8968521835572756
95	-3.1194054040475883	-4.5721698117430725	-3.0117220435504928	-1.8617646359893896
96	-2.6094700956439736	-4.604400496265354	-2.975139246188061	-1.765482699378751
97	-3.1271386019616862	-5.005233977284119	-3.120383816107786	-1.833599283347815
98	-2.6362834691707713	-4.701600814359805	-3.039546591506216	-1.84815419065767
99	-3.190976981419477	-5.099463158412688	-3.1177761992700823	-1.875985088208529
100	-3.2671670296173616	-5.096920105355435	-3.169543926903405	-1.9008383532407793
