iterations,bike,car,drive_transit,ride_hail,ride_hail_transit,walk,walk_transit
benchmark,0.0,79.99999999999999,2.9999999999999996,6.599999999999999,1.9999999999999996,3.999999999999999,4.399999999999999
0,0,66.86217008797654,6.64711632453568,20.527859237536656,0,1.270772238514174,4.69208211143695
1,0,65.92233009708738,5.87378640776699,20.0,0,1.8446601941747574,6.359223300970874
2,0,67.08799222168206,5.882352941176471,19.64025279533301,0,1.5070491006319884,5.882352941176471
3,0,66.53734238603298,5.965082444228904,18.525703200775947,0,1.9883608147429679,6.9835111542192045
4,0,66.37596899224806,5.717054263565892,18.507751937984494,0,1.8410852713178294,7.558139534883721
5,0,68.57976653696498,5.496108949416342,17.120622568093385,0,2.7237354085603114,6.07976653696498
6,0,68.34706737760543,5.477460009694619,16.674745516238488,0,2.2782355792535145,7.22249151720795
7,0,68.03118908382066,5.847953216374269,17.64132553606238,0,2.5828460038986356,5.896686159844054
8,0,68.70748299319727,5.1020408163265305,17.103984450923228,0,2.2837706511175897,6.802721088435374
9,0,69.22330097087378,5.631067961165049,16.310679611650485,0,2.087378640776699,6.747572815533981
10,0,69.63680387409201,5.084745762711864,15.39951573849879,0,2.711864406779661,7.167070217917676
11,0,69.12980068060281,6.076810889645114,15.653864851725814,0,2.5765678172095283,6.562955760816723
12,0,68.63218946350894,5.5582406959884,15.079748670855485,0,3.2382793620106334,7.49154180763654
13,0,70.68546426835196,5.785123966942149,14.681575109382596,0,2.6737967914438503,6.174039863879436
14,0,71.0590531966813,5.222059541239629,15.226939970717423,0,2.4890190336749636,6.002928257686676
15,0,70.85158150851582,4.817518248175182,15.279805352798054,0,2.5304136253041363,6.520681265206813
16,0,71.8172983479106,4.859086491739553,14.480077745383868,0,2.818270165208941,6.025267249757046
17,0,71.57484154071184,4.680643588493417,14.919551438322769,0,2.8278888347147735,5.997074597757192
18,0,74.16829745596868,3.9138943248532287,13.894324853228962,0,2.544031311154599,5.47945205479452
19,0,72.32796486090776,4.782820888238165,14.348462664714495,0,2.342606149341142,6.1981454367984385
20,0,72.17095677513356,4.419621175327829,13.890237979601748,0,2.6226323457989316,6.896551724137931
21,0,71.66504381694256,4.917234664070107,13.729308666017527,0,2.969814995131451,6.718597857838364
22,0,73.18982387475538,4.892367906066537,13.600782778864971,0,2.935420743639922,5.38160469667319
23,0,71.85978578383641,5.160662122687439,13.339824732229795,0,3.2132424537487827,6.426484907497565
24,0,72.01946472019465,4.817518248175182,13.236009732360097,0,3.065693430656934,6.861313868613139
25,0,73.33008288639688,4.24183325207216,12.676743052169673,0,3.6567528035104826,6.094588005850804
26,0,73.4733756717147,4.49438202247191,12.6038104543234,0,3.56619443087445,5.862237420615535
27,0,72.53281477880408,5.104521147301896,12.250850753524551,0,2.916869227029655,7.194944093339815
28,0,73.15403422982885,4.792176039119805,12.811735941320293,0,3.667481662591687,5.574572127139365
29,0,73.94057476863127,4.7247929858743305,11.690209449585971,0,3.5070628348757915,6.137359961032635
