iteration #,revenue
0,1726.2499999999998
1,2520.8416666666662
2,2439.641666666663
3,2349.941666666665
4,2256.166666666666
5,2159.6499999999987
6,2046.7333333333331
7,2160.4666666666667
8,2117.433333333333
9,1984.2083333333323
10,1770.4250000000006
11,1820.8916666666676
12,1754.4416666666673
13,1623.75
14,1741.2666666666676
15,1703.6833333333327
16,1657.091666666667
17,1635.0000000000005
18,1506.366666666667
19,1478.9916666666668
20,1511.8500000000004
21,1603.158333333334
22,1413.6416666666662
23,1346.8000000000004
24,1252.5666666666662
25,1285.2083333333335
26,1205.6083333333331
27,1220.0583333333338
28,1219.183333333334
29,1185.4583333333335
30,1033.9833333333333
31,1038.4083333333342
32,1149.5083333333334
33,1210.0083333333337
34,1069.1500000000003
35,1201.1083333333327
36,1057.1250000000002
37,1145.7500000000007
38,1102.8249999999998
39,997.7666666666668
40,920.5000000000001
41,1016.366666666667
42,1052.7000000000003
43,1010.2416666666667
44,1039.8833333333337
45,966.2333333333333
46,1049.6250000000005
47,1043.1916666666666
48,983.8583333333332
49,1075.3416666666667
50,1039.8166666666673
51,841.1000000000003
52,946.7749999999999
53,1005.191666666667
54,976.6750000000004
55,963.525
56,1021.7666666666665
57,910.2416666666664
58,1091.341666666667
59,961.3333333333333
60,946.5416666666667
61,963.7499999999998
62,815.2833333333333
63,898.4166666666667
64,1005.9750000000001
65,974.5916666666668
66,909.3833333333329
67,917.8416666666666
68,875.8000000000002
69,906.4833333333332
70,917.8166666666666
71,832.5250000000005
72,980.9999999999998
73,870.7916666666662
74,835.1499999999997
75,817.2750000000003
76,850.9833333333335
77,868.125
78,829.0499999999998
79,800.8583333333331
80,903.758333333333
81,932.2750000000003
82,879.6666666666663
83,859.0916666666669
84,783.858333333333
85,821.1166666666666
86,720.175
87,765.033333333333
88,922.4000000000001
89,839.0749999999998
90,863.6999999999999
91,908.0083333333329
92,908.6916666666666
93,953.0333333333332
94,884.5333333333332
95,851.1999999999997
96,886.3499999999998
97,870.0416666666669
98,810.2583333333334
99,926.2999999999998
100,890.5250000000005
