hour,numPassengers,vkt
7,0,9715.118999999999
7,1,37488.651999999995
8,0,18654.301
8,1,44454.396
9,0,6863.751
9,1,39671.511
10,0,2458.304
10,1,11073.293
11,0,2943.989
11,1,20663.881
12,0,7622.246999999999
12,1,20643.151
13,0,754.3119999999999
13,1,9986.752
14,0,1083.705
14,1,7171.855
15,0,4972.698
15,1,35633.563
16,0,5441.930999999999
16,1,22891.266000000003
17,0,15826.928999999998
17,1,135159.29499999998
18,0,13273.76
18,1,116375.62000000001
19,0,8823.710000000001
19,1,77740.38000000002
20,0,172.519
20,1,17767.244000000002
