modeChosen, alternativesAvailable, numberOfTimes
drive_transit, RIDE_HAIL:WALK:WALK_TRANSIT:DRIVE_TRANSIT, 5
walk, WALK:DRIVE_TRANSIT, 7
ride_hail, RIDE_HAIL:WALK:DRIVE_TRANSIT, 11
walk_transit, WALK:CAR:WALK_TRANSIT:DRIVE_TRANSIT, 10
walk, WALK:CAR, 7
walk_transit, RIDE_HAIL:WALK:CAR:WALK_TRANSIT, 81
walk, RIDE_HAIL:WALK:DRIVE_TRANSIT, 25
walk, RIDE_HAIL:WALK:WALK_TRANSIT:DRIVE_TRANSIT, 17
drive_transit, WALK:CAR:DRIVE_TRANSIT, 5
drive_transit, RIDE_HAIL:WALK:CAR:WALK_TRANSIT:DRIVE_TRANSIT, 2
walk, WALK, 325
walk, , 47
walk, CAR:WALK, 1
walk, RIDE_HAIL:WALK:CAR:WALK_TRANSIT:DRIVE_TRANSIT, 31
walk, RIDE_HAIL:WALK:CAR:WALK_TRANSIT, 54
walk, WALK:CAR:DRIVE_TRANSIT, 21
walk, RIDE_HAIL:WALK:CAR:WALK_TRANSIT:WALK_TRANSIT, 1
walk_transit, RIDE_HAIL:WALK:WALK_TRANSIT:DRIVE_TRANSIT, 43
ride_hail, RIDE_HAIL:WALK:CAR, 8
walk, RIDE_HAIL:WALK, 5
ride_hail, RIDE_HAIL:WALK:CAR:WALK_TRANSIT, 4
walk, WALK:WALK_TRANSIT, 1
walk, RIDE_HAIL:WALK:CAR:DRIVE_TRANSIT:WALK_TRANSIT, 22
walk_transit, RIDE_HAIL:CAR:DRIVE_TRANSIT:WALK_TRANSIT:WALK, 2
walk_transit, WALK:WALK_TRANSIT, 7
ride_hail, RIDE_HAIL:WALK, 4
walk, WALK:DRIVE_TRANSIT:WALK_TRANSIT, 6
walk, CAR:WALK_TRANSIT:WALK, 1
walk_transit, RIDE_HAIL:DRIVE_TRANSIT:WALK_TRANSIT:WALK, 2
ride_hail, RIDE_HAIL:WALK:DRIVE_TRANSIT:WALK_TRANSIT, 3
walk_transit, RIDE_HAIL:WALK:CAR:WALK_TRANSIT:WALK_TRANSIT, 2
drive_transit, WALK:DRIVE_TRANSIT, 3
walk_transit, RIDE_HAIL:WALK:CAR:WALK_TRANSIT:DRIVE_TRANSIT, 187
walk, WALK:CAR:WALK_TRANSIT, 2
walk, WALK:CAR:WALK_TRANSIT:DRIVE_TRANSIT, 3
ride_hail, RIDE_HAIL:WALK:CAR:DRIVE_TRANSIT:WALK_TRANSIT, 21
ride_hail, RIDE_HAIL:WALK:WALK_TRANSIT, 1
drive_transit, WALK:CAR:DRIVE_TRANSIT:WALK_TRANSIT, 5
walk_transit, WALK:CAR:WALK_TRANSIT, 9
ride_hail, RIDE_HAIL, 58
walk_transit, WALK:CAR:DRIVE_TRANSIT:WALK_TRANSIT, 14
walk, RIDE_HAIL:WALK:CAR:WALK_TRANSIT:WALK_TRANSIT:DRIVE_TRANSIT, 1
walk, RIDE_HAIL:WALK:WALK_TRANSIT, 18
walk_transit, RIDE_HAIL:CAR:WALK_TRANSIT:DRIVE_TRANSIT:WALK, 1
walk_transit, RIDE_HAIL:WALK:DRIVE_TRANSIT:WALK_TRANSIT, 46
ride_hail, RIDE_HAIL:WALK:CAR:DRIVE_TRANSIT, 14
ride_hail, RIDE_HAIL:WALK:WALK_TRANSIT:DRIVE_TRANSIT, 1
walk_transit, WALK:DRIVE_TRANSIT:WALK_TRANSIT, 7
walk_transit, RIDE_HAIL:WALK:CAR:DRIVE_TRANSIT:WALK_TRANSIT, 162
walk, RIDE_HAIL:WALK:DRIVE_TRANSIT:WALK_TRANSIT, 19
walk, WALK:WALK_TRANSIT:DRIVE_TRANSIT, 5
walk_transit, RIDE_HAIL:WALK:CAR:DRIVE_TRANSIT:WALK_TRANSIT:DRIVE_TRANSIT, 1
walk, WALK:CAR:DRIVE_TRANSIT:WALK_TRANSIT, 1
walk_transit, RIDE_HAIL:WALK:WALK_TRANSIT, 20
walk, RIDE_HAIL:WALK:CAR, 17
ride_hail, RIDE_HAIL:WALK:CAR:WALK_TRANSIT:DRIVE_TRANSIT, 7
walk_transit, WALK_TRANSIT, 590
walk, RIDE_HAIL:WALK:CAR:DRIVE_TRANSIT, 52
