TazId,DataType,Value,Hour
205,pricelevel,1.0,1
205,revenue,0.0,1
205,pricelevel,1.0,2
205,revenue,0.0,2
205,pricelevel,1.0,3
205,revenue,0.0,3
205,pricelevel,1.0,4
205,revenue,0.0,4
205,pricelevel,1.0,5
205,revenue,0.0,5
205,pricelevel,1.0,6
205,revenue,0.0,6
205,pricelevel,1.0,7
205,revenue,0.0,7
205,pricelevel,1.0,8
205,revenue,0.0,8
205,pricelevel,1.0,9
205,revenue,0.0,9
205,pricelevel,1.0,10
205,revenue,0.0,10
205,pricelevel,1.0,11
205,revenue,0.0,11
205,pricelevel,1.0,12
205,revenue,0.0,12
205,pricelevel,1.0,13
205,revenue,0.0,13
205,pricelevel,1.0,14
205,revenue,0.0,14
205,pricelevel,1.0,15
205,revenue,0.0,15
205,pricelevel,1.0,16
205,revenue,0.0,16
205,pricelevel,1.0,17
205,revenue,0.0,17
205,pricelevel,1.0,18
205,revenue,0.0,18
205,pricelevel,1.0,19
205,revenue,0.0,19
205,pricelevel,1.0,20
205,revenue,0.0,20
205,pricelevel,1.0,21
205,revenue,0.0,21
205,pricelevel,1.0,22
205,revenue,0.0,22
205,pricelevel,1.0,23
205,revenue,0.0,23
205,pricelevel,1.0,24
205,revenue,0.0,24
205,pricelevel,1.0,25
205,revenue,0.0,25
205,pricelevel,1.0,26
205,revenue,0.0,26
205,pricelevel,1.0,27
205,revenue,0.0,27
205,pricelevel,1.0,28
205,revenue,0.0,28
205,pricelevel,1.0,29
205,revenue,0.0,29
205,pricelevel,1.0,30
205,revenue,0.0,30
205,pricelevel,1.0,31
205,revenue,0.0,31
210,pricelevel,1.0,1
210,revenue,0.0,1
210,pricelevel,1.0,2
210,revenue,0.0,2
210,pricelevel,1.0,3
210,revenue,0.0,3
210,pricelevel,1.0,4
210,revenue,0.0,4
210,pricelevel,1.0,5
210,revenue,0.0,5
210,pricelevel,1.0,6
210,revenue,0.0,6
210,pricelevel,1.0,7
210,revenue,0.0,7
210,pricelevel,1.0,8
