hours,drive_transit,ride_hail,walk,walk_transit
1,0,0,0,0
2,0,0,0,0
3,0,0,0,0
4,0,0,0,0
5,0,0,0,0
6,0,0,0,0
7,0,0,0,0
8,1.9999999999999998,14.000000000000004,42.0,143.33333333333334
9,1.5,15.0,90.0,191.1666666666667
10,3.0,6.0,32.0,40.5
11,0,1.0,42.0,41.5
12,0,6.0,33.0,43.0
13,0.6666666666666666,6.666666666666666,59.0,32.0
14,0,0,20.0,51.66666666666667
15,0,3.0,41.0,66.0
16,0,6.0,34.0,61.0
17,1.0,15.000000000000002,52.0,109.0
18,0,34.0,157.0,301.66666666666663
19,0,7.0,52.0,54.333333333333336
20,0,9.0,33.0,34.0
21,0,1.0,0,4.0
