fromX,fromY,toX,toY,freespeed,capacity
-96.7123979,43.5161647,-96.7124081,43.5163483,2.7777777777777777,300.0
-96.7596876,43.6018739,-96.7570436,43.6019536,4.62962962962963,1000.0
-96.7124081,43.5163483,-96.7123979,43.5161647,2.7777777777777777,300.0
-96.7411806,43.5148643,-96.7408507,43.5148651,6.172839506172839,1500.0
-96.6949209,43.5631439,-96.6944479,43.563318,4.62962962962963,1000.0
-96.7162568,43.515941,-96.7124081,43.5163483,3.4722222222222223,300.0
-96.7212945,43.5335131,-96.7213002,43.5294011,3.4722222222222223,300.0
-96.6944479,43.563318,-96.6949209,43.5631439,4.62962962962963,1000.0
-96.7213002,43.5294011,-96.7212945,43.5335131,3.4722222222222223,300.0
-96.6792941,43.5440487,-96.6792941,43.5440487,3.4722222222222223,300.0
-96.6792941,43.5440487,-96.6792941,43.5440487,3.4722222222222223,300.0
-96.7197583,43.5594794,-96.7195004,43.5602642,3.4722222222222223,300.0
-96.7195004,43.5602642,-96.7197583,43.5594794,3.4722222222222223,300.0
-96.7260953,43.558542,-96.7234281,43.5594746,3.4722222222222223,300.0
-96.7112664,43.5192938,-96.7112599,43.5214001,4.62962962962963,1000.0
-96.7234281,43.5594746,-96.7260953,43.558542,3.4722222222222223,300.0
-96.7113998,43.521401,-96.7112599,43.5214001,2.7777777777777777,300.0
-96.706456,43.5622655,-96.7081269,43.5622113,4.62962962962963,1000.0
-96.7112599,43.5214001,-96.7113998,43.521401,2.7777777777777777,300.0
-96.7081269,43.5622113,-96.706456,43.5622655,4.62962962962963,1000.0
-96.711268,43.5187706,-96.7112752,43.5164683,4.62962962962963,1000.0
-96.7127967,43.5466606,-96.7138738,43.5466577,6.172839506172839,1500.0
-96.7112752,43.5164683,-96.711268,43.5187706,4.62962962962963,1000.0
-96.7658296,43.5076036,-96.7648128,43.5076029,3.4722222222222223,600.0
-96.7138738,43.5466577,-96.7127967,43.5466606,6.172839506172839,1500.0
-96.7113599,43.5187712,-96.711268,43.5187706,2.7777777777777777,300.0
-96.7648128,43.5076029,-96.7658296,43.5076036,3.4722222222222223,600.0
-96.7151618,43.5132541,-96.7120212,43.5131965,3.4722222222222223,300.0
-96.711268,43.5187706,-96.7113599,43.5187712,2.7777777777777777,300.0
-96.7408507,43.5148651,-96.7411806,43.5148643,6.172839506172839,1500.0
-96.7120212,43.5131965,-96.7151618,43.5132541,3.4722222222222223,300.0
-96.7124081,43.5163483,-96.7162568,43.515941,3.4722222222222223,300.0
-96.7246884,43.5150478,-96.7262195,43.5148856,3.4722222222222223,300.0
-96.7938414,43.5293806,-96.7909267,43.5293167,4.62962962962963,1000.0
-96.7262195,43.5148856,-96.7246884,43.5150478,3.4722222222222223,300.0
-96.7909267,43.5293167,-96.7938414,43.5293806,4.62962962962963,1000.0
-96.7246821,43.5149336,-96.7246884,43.5150478,2.7777777777777777,300.0
-96.7909715,43.608567,-96.7911385,43.6085673,6.172839506172839,750.0
-96.7295768,43.5113068,-96.7311463,43.511072,6.172839506172839,1500.0
-96.7684877,43.5148387,-96.7664027,43.5148432,6.172839506172839,2250.0
-96.6918284,43.58961,-96.6910729,43.5930423,18.055555555555554,4000.0
-96.7311463,43.511072,-96.7295768,43.5113068,6.172839506172839,1500.0
-96.7664027,43.5148432,-96.7684877,43.5148387,6.172839506172839,2250.0
-96.7474188,43.5584517,-96.7474188,43.5584517,4.62962962962963,1000.0
-96.7412744,43.5459604,-96.7399221,43.5460071,3.4722222222222223,300.0
-96.7399221,43.5460071,-96.7412744,43.5459604,3.4722222222222223,300.0
-96.7474188,43.5584517,-96.7474188,43.5584517,4.62962962962963,1000.0
-96.6964237,43.5466204,-96.6964202,43.5439486,3.4722222222222223,300.0
-96.7611638,43.5476417,-96.7561978,43.5474377,3.4722222222222223,300.0
-96.6964202,43.5439486,-96.6964237,43.5466204,3.4722222222222223,300.0
-96.7561978,43.5474377,-96.7611638,43.5476417,3.4722222222222223,300.0
-96.7724642,43.5873768,-96.7760505,43.5873863,4.62962962962963,1000.0
-96.7108375,43.5765673,-96.716118,43.5761424,3.4722222222222223,300.0
-96.7760505,43.5873863,-96.7724642,43.5873768,4.62962962962963,1000.0
-96.716118,43.5761424,-96.7108375,43.5765673,3.4722222222222223,300.0
-96.7570436,43.6019536,-96.7596876,43.6018739,4.62962962962963,1000.0
-96.7165992,43.5139696,-96.713277,43.5142534,6.172839506172839,750.0
-96.7454428,43.6102434,-96.7440648,43.6099874,18.055555555555554,4000.0
-96.7698206,43.5874939,-96.770425,43.5882625,6.172839506172839,750.0
-96.713277,43.5142534,-96.7165992,43.5139696,6.172839506172839,750.0
-96.7440648,43.6099874,-96.7454428,43.6102434,18.055555555555554,4000.0
-96.770425,43.5882625,-96.7698206,43.5874939,6.172839506172839,750.0
-96.7166417,43.5149148,-96.7165992,43.5139696,2.7777777777777777,300.0
-96.7860372,43.5583326,-96.7809373,43.5589012,4.62962962962963,1000.0
-96.7165992,43.5139696,-96.7166417,43.5149148,2.7777777777777777,300.0
-96.7809373,43.5589012,-96.7860372,43.5583326,4.62962962962963,1000.0
-96.7212382,43.5154134,-96.7246884,43.5150478,3.4722222222222223,300.0
-96.7286893,43.5970759,-96.7286905,43.5960654,4.62962962962963,1000.0
-96.7246884,43.5150478,-96.7212382,43.5154134,3.4722222222222223,300.0
-96.7032483,43.5276689,-96.7032522,43.527451,4.62962962962963,1000.0
-96.7286905,43.5960654,-96.7286893,43.5970759,4.62962962962963,1000.0
-96.7210681,43.514932,-96.7212382,43.5154134,2.7777777777777777,300.0
-96.7032522,43.527451,-96.7032483,43.5276689,4.62962962962963,1000.0
-96.6910729,43.5930423,-96.6918284,43.58961,18.055555555555554,4000.0
-96.7212382,43.5154134,-96.7210681,43.514932,2.7777777777777777,300.0
-96.7262269,43.5220147,-96.7262268,43.5221207,2.7777777777777777,300.0
-96.779596,43.5589289,-96.7794999,43.5588795,6.172839506172839,1500.0
-96.7262268,43.5221207,-96.7262269,43.5220147,2.7777777777777777,300.0
-96.7794999,43.5588795,-96.779596,43.5589289,6.172839506172839,1500.0
-96.7262813,43.5252803,-96.726282,43.5257719,3.4722222222222223,300.0
-96.7611702,43.6019774,-96.7611904,43.6054702,3.4722222222222223,300.0
-96.726282,43.5257719,-96.7262813,43.5252803,3.4722222222222223,300.0
-96.721333,43.5910639,-96.7173014,43.591041,3.4722222222222223,300.0
-96.7312662,43.5182586,-96.7312669,43.5185203,6.172839506172839,1500.0
-96.7312669,43.5185203,-96.7312662,43.5182586,6.172839506172839,1500.0
-96.7414904,43.5634488,-96.7408273,43.5632722,3.8580246913580245,2000.0
-96.7860313,43.5602306,-96.7835774,43.5601237,3.4722222222222223,300.0
-96.7835774,43.5601237,-96.7860313,43.5602306,3.4722222222222223,300.0
