iterations,bike,car,drive_transit,ride_hail,ride_hail_transit,walk,walk_transit
benchmark,0.0,79.99999999999999,2.9999999999999996,6.599999999999999,1.9999999999999996,3.999999999999999,4.399999999999999
0,0,69.889798488665,0.08501259445843828,6.001259445843829,0,13.693324937027707,10.330604534005039
1,0,70.34427797258527,0.07650621613006056,5.910105196047179,0,14.421421740516417,9.24768887472107
2,0,70.29892692897292,0.14052120592743997,5.882728666326009,0,14.863311190597853,8.814512008175779
3,0,71.45627302695365,0.06140520974726908,5.9660009049188805,0,14.99579859091203,7.520522267468166
4,0,71.37796555086123,0.08774780630484239,5.849853753656158,0,15.778355541111472,6.906077348066298
5,0,71.55995984325918,0.05505359629521681,5.748243142588814,0,15.79066679620454,6.846076621652256
6,0,72.18927155356032,0.15073565553625848,5.619818461840941,0,16.423632729298422,5.616541599764066
7,0,72.51379400945875,0.049264319495533365,5.662112454019969,0,16.539674198633737,5.235155018392013
8,0,72.77628032345014,0.05588061271448294,5.522319374137138,0,16.790480573269345,4.8550391164289
9,0,72.65455263677661,0.08888011060635986,5.359141483968662,0,17.32832971229179,4.569096056356574
10,0,73.22290550816636,0.0793493354493156,5.415592144415791,0,17.39403557495206,3.888117437016465
11,0,72.95705683848342,0.09263547938860583,5.577979223185337,0,17.703301793158207,3.669026665784424
12,0,73.04560799629311,0.059575031442377704,5.255841662805322,0,18.0280664592573,3.610908850201893
13,0,73.62062688246782,0.06288683679210935,5.110382947737729,0,17.525568463906264,3.6805348690960846
14,0,73.2798621238234,0.04971496751955455,5.389102479119714,0,17.966989261567015,3.3143311679703036
15,0,73.23812994930586,0.10934031344223187,5.089294589311156,0,18.42218614360028,3.1410490043404793
16,0,73.12845281021535,0.06616163286909921,5.04813258791227,0,18.389625855966127,3.3676271130371496
17,0,73.22002451711228,0.05632309578239406,4.98956366166385,0,18.656197197097704,3.07789152834377
18,0,73.38886307825048,0.026548085219353555,5.037499170372337,0,18.812636888564413,2.734452777593416
19,0,72.83127735773975,0.09616660034487333,4.994031038599283,0,19.233320068974667,2.8452049343414245
20,0,73.35193118793796,0.0564577729069111,4.895221015575704,0,19.1225797881173,2.5738102354621235
