timeOfDayInSeconds,personId,rideHailVehicleId,waitingTimeInSeconds
28594.0,300-2013000419803-040056,rideHailVehicle-500-2012001151676-023415,48.0
28503.0,1801-2014001269642-088495,rideHailVehicle-1902-2014000495145-072101,13.0
28583.0,1101-2016000039403-0125566,rideHailVehicle-1101-2014000730190-076371,200.0
29341.0,201-2012000633457-012637,rideHailVehicle-201-2015000850269-0110475,5.0
29482.0,500-2014000054409-062496,rideHailVehicle-500-2016000510160-0136733,58.0
30211.0,700-2013000402257-039543,rideHailVehicle-700-2016000029416-0125169,16.0
30428.0,10405-2016000234950-0129938,rideHailVehicle-10405-2016000069252-0126529,38.0
31023.0,1500-2015001363337-0121811,rideHailVehicle-1600-2013001200076-055641,2.0
30639.0,100-2016001467581-0156397,rideHailVehicle-100-2016001467581-0156440,798.0
31439.0,1105-2015000269758-096220,rideHailVehicle-1105-2016001257783-0153062,19.0
31638.0,201-2012000566763-111448,rideHailVehicle-201-2013000280546-136649,58.0
31876.0,1801-2015000084908-092697,rideHailVehicle-1801-2016000327234-0132085,50.0
31959.0,202-2013000068309-031128,rideHailVehicle-201-2012000281261-05855,178.0
32502.0,600-2012000903731-018306,rideHailVehicle-600-2016001232300-0152511,25.0
34293.0,1600-2014000292394-268268,rideHailVehicle-1600-2016000069252-0126512,44.0
34861.0,1700-2015000884043-0111800,rideHailVehicle-1700-2015000884043-0111800,281.0
35241.0,300-2016001223046-0151997,rideHailVehicle-300-2012000903731-018299,29.0
35298.0,100-2012000217991-04404,rideHailVehicle-100-2014000488669-071591,24.0
35645.0,700-2015001314717-3120804,rideHailVehicle-700-2016000266802-0131133,34.0
36026.0,1002-2015000712347-1104981,rideHailVehicle-1200-2015000732389-1105746,14.0
36252.0,100-2012000217991-04448,rideHailVehicle-100-2012000217991-04360,71.0
36442.0,1001-2013001157196-054611,rideHailVehicle-202-2013001290223-057235,123.0
37449.0,300-2016001223046-0151821,rideHailVehicle-300-2016000510160-1136725,23.0
37664.0,900-2013000298655-037376,rideHailVehicle-900-2016000772838-1143323,6.0
38146.0,700-2015000949415-1112929,rideHailVehicle-700-2013001269612-056882,51.0
38123.0,201-2012000633457-012637,rideHailVehicle-700-2015000949415-1112860,22.0
38350.0,10600-2013001219485-056047,rideHailVehicle-10600-2016000030344-0125261,88.0
39168.0,10405-2014000992862-081760,rideHailVehicle-10405-2013001219485-056046,43.0
39264.0,1500-2016000250854-1130529,rideHailVehicle-1600-2013000606389-244460,1.0
39786.0,1500-2014001338541-089752,rideHailVehicle-1500-2013000487483-041844,50.0
40053.0,900-2013000298655-037350,rideHailVehicle-900-2012000672671-013666,76.0
40500.0,1500-2016000250854-1130705,rideHailVehicle-1500-2013000487483-041844,1.0
40315.0,1108-2012000078687-01523,rideHailVehicle-1105-2015001283493-0120015,389.0
40547.0,700-2015000949415-1112998,rideHailVehicle-700-2015001314717-3121112,51.0
40906.0,700-2016000086561-0126809,rideHailVehicle-700-2014001221401-087857,9.0
41662.0,1001-2016000647792-0140557,rideHailVehicle-1001-2015000804471-0108125,58.0
41634.0,700-2016000770003-0143123,rideHailVehicle-700-2012000855549-017685,23.0
41953.0,100-2016000544078-0137723,rideHailVehicle-100-2016000544078-0137597,115.0
42247.0,1001-2015000804471-0108053,rideHailVehicle-1001-2016001487612-0157322,58.0
42716.0,1105-2013000226280-235034,rideHailVehicle-10103-2015000301668-097012,89.0
43388.0,1700-2016000675463-0141080,rideHailVehicle-1700-2014000987574-081224,98.0
43566.0,10405-2016001210775-1151217,rideHailVehicle-10405-2013001099005-153678,58.0
44103.0,1902-2014000614689-074944,rideHailVehicle-1101-2014000331760-069046,28.0
44228.0,1500-2016000250854-1130793,rideHailVehicle-1600-2013000606389-244460,1.0
44257.0,10405-2012001067422-021806,rideHailVehicle-10405-2014001404766-090805,58.0
44300.0,600-2015001440276-0123206,rideHailVehicle-600-2014000987574-081400,3.0
44514.0,1001-2014000448294-070643,rideHailVehicle-1002-2015001369519-0121981,58.0
44998.0,1108-2016001425564-0155106,rideHailVehicle-1105-2012001464904-029277,46.0
45005.0,10600-2016000102723-0127041,rideHailVehicle-10600-2016000721039-0142174,5.0
44871.0,202-2015000458232-099814,rideHailVehicle-900-2014001166634-086084,39.0
45047.0,300-2016000262140-0130907,rideHailVehicle-300-2013000431434-040443,118.0
45249.0,700-2013000486183-041786,rideHailVehicle-600-2014000114846-063990,7.0
45306.0,1803-2012000813155-115867,rideHailVehicle-1801-2013000226280-134981,50.0
45440.0,10405-2016000364640-0132698,rideHailVehicle-10405-2012001118760-122655,58.0
45325.0,10104-2015001453276-0123287,rideHailVehicle-10102-2015000949415-2112906,738.0
45213.0,10104-2013000258802-135793,rideHailVehicle-1902-2014000614689-074928,1027.0
46409.0,1902-2016000829228-0144518,rideHailVehicle-10104-2015001453276-0123281,28.0
46379.0,10104-2015001453276-0123281,rideHailVehicle-1902-2016000829228-0144496,28.0
46575.0,1600-2013000438496-040993,rideHailVehicle-1600-2012000493995-010046,44.0
