hours,car,drive_transit,others,ride_hail,walk,walk_transit
1,0,0,0,0,0,0
2,0,0,0,0,0,0
3,0,0,0,0,0,0
4,0,0,0,0,0,0
5,0,0,0,0,0,0
6,0,0,0,0,0,0
7,3,0,0,0,0,0
8,849,1,0,3,0,0
9,4789,6,0,10,26,7
10,2217,4,0,6,83,1
11,454,1,0,10,45,15
12,484,1,0,11,28,18
13,543,1,0,23,46,50
14,637,3,3,33,75,99
15,699,1,36,47,157,97
16,592,0,39,93,203,101
17,758,1,163,143,287,125
18,2153,2,56,197,247,102
19,3067,2,208,202,370,119
20,2462,0,67,213,485,77
21,1390,1,115,207,474,83
22,695,0,27,167,399,58
23,285,0,48,152,315,64
24,75,0,4,124,269,19
25,35,0,6,230,547,0
26,1,0,0,24,22,0
27,1,0,0,7,0,0
28,1,0,0,2,0,0
29,0,0,0,1,0,0
30,7,0,0,1,1,0
