hour,numPassengers,vkt
7,0,38.179
7,1,0.0
8,0,1746.875
8,1,18009.394
9,0,1055.871
9,1,16894.555999999997
10,0,1160.181
10,1,32384.822999999997
11,0,485.003
11,1,48376.393000000004
12,0,7608.667
12,1,37234.649
13,0,13339.699000000002
13,1,107487.96900000001
14,0,2823.569000000001
14,1,105083.543
15,0,8172.227000000002
15,1,340263.4289999999
16,0,15687.923999999999
16,1,762007.0019999995
17,0,22214.82300000001
17,1,708101.2699999999
18,0,28533.598999999973
18,1,1183752.0509999997
19,0,20783.081999999973
19,1,1242157.4179999994
20,0,27132.940999999973
20,1,1358470.971
21,0,28929.245999999985
21,1,1168757.1129999997
22,0,19515.481999999996
22,1,964917.832
23,0,20365.615999999995
23,1,769819.52
24,0,60736.644999999946
24,1,1487346.5369999995
25,0,16453.616999999995
25,1,460752.66799999983
26,0,8467.84
26,1,50609.81399999999
27,0,4286.152
27,1,18964.083
28,0,1257.213
28,1,8855.599
29,0,0.011
29,1,7230.889
