Bin,AverageLinkSpeed
0,0,100.0
1,1,100.0
2,2,99.9983413840479
3,3,100.0
4,4,100.00000000000003
5,5,100.0
6,6,100.0
7,7,99.99003427140617
8,8,95.29709587871977
9,9,88.50138799856357
10,10,88.50407510245974
11,11,88.79184149553535
12,12,89.4964998315355
13,13,89.71008970406453
14,14,89.77267885732996
15,15,90.01059730004134
16,16,89.8457842626809
17,17,89.9921326488259
18,18,87.92361620229468
19,19,86.70370375440409
20,20,86.74579337625893
21,21,86.59105379841
22,22,87.1314942679608
23,23,87.28634881800379
24,24,88.3372776107134
25,25,88.69025171296634
26,26,89.11659982284881
27,27,89.31088705157934
28,28,90.45763388320022
29,29,92.23687391350623
30,30,100.0
