hour,numPassengers,vkt
7,0,0.057999999999999996
7,1,1347.162
8,0,1761.742
8,1,25710.124
9,0,337.77500000000003
9,1,7956.769
10,0,999.746
10,1,29530.843
11,0,488.498
11,1,39330.082
12,0,2663.8359999999993
12,1,44849.01
13,0,9284.498000000001
13,1,116853.239
14,0,2261.13
14,1,160998.59399999998
15,0,6742.6500000000015
15,1,343957.6199999999
16,0,11935.38400000001
16,1,476752.61299999995
17,0,27051.37599999999
17,1,836694.8670000003
18,0,18460.869999999995
18,1,967510.1869999996
19,0,21672.03699999999
19,1,804259.1019999995
20,0,22001.677
20,1,885321.5949999995
21,0,26272.07399999999
21,1,1013017.6109999999
22,0,23692.168000000005
22,1,851930.3750000001
23,0,22527.147
23,1,507226.289
24,0,74580.20199999999
24,1,1446259.369000001
25,0,9827.837999999996
25,1,314928.164
26,0,729.568
26,1,18767.403
27,0,3200.959
27,1,16590.749
28,0,2991.559
28,1,13912.709
