Bin,AverageLinkSpeed
0,0,100.0
1,1,100.0
2,2,99.99769693855215
3,3,100.0
4,4,100.0
5,5,100.0
6,6,100.0
7,7,99.99609340254446
8,8,95.6050101937511
9,9,88.7005436872883
10,10,88.7147546663258
11,11,89.12933369348029
12,12,89.76078331596746
13,13,89.70203874331256
14,14,90.07518498553509
15,15,90.08965992253013
16,16,90.30469882921004
17,17,89.97083939764366
18,18,88.15553008044954
19,19,86.75615492159287
20,20,86.60198456832327
21,21,86.70313185436301
22,22,87.45130656980368
23,23,87.82098654273567
24,24,87.95373192366544
25,25,87.88525057380589
26,26,88.45764274238111
27,27,89.04724561810998
28,28,89.93472551555433
29,29,91.69099996913167
30,30,100.0
