hours,car,drive_transit,others,ride_hail,walk,walk_transit
1,0,0,0,0,0,0
2,0,0,0,0,0,0
3,0,0,0,0,0,0
4,0,0,0,0,0,0
5,0,0,0,0,0,0
6,0,0,0,0,0,0
7,4,0,0,0,0,0
8,838,0,0,2,1,0
9,4672,3,0,15,81,13
10,2251,1,0,5,79,7
11,464,1,0,9,43,5
12,490,0,0,16,35,12
13,543,1,0,27,49,35
14,640,1,0,41,107,76
15,694,2,10,56,202,59
16,609,0,0,83,288,100
17,735,0,77,148,370,85
18,2101,3,0,198,327,101
19,3054,0,75,202,500,110
20,2409,1,4,154,591,82
21,1415,1,91,186,565,70
22,745,0,0,143,439,70
23,276,0,22,123,386,61
24,90,0,0,90,292,37
25,40,0,7,203,608,0
26,0,0,0,14,15,0
27,2,0,0,5,0,0
28,1,0,0,3,0,0
29,0,0,0,1,0,0
30,6,0,0,0,2,0
