timeBin,TAZ,outboundParkingOverheadTime,inboundParkingOverheadTime,inboundParkingOverheadCost
6,480.0,0.0,8.0,0.0
6,477.0,0.0,0.0,0.0
6,478.0,0.0,0.0,0.0
6,493.0,0.0,0.0,0.0
7,480.0,0.0,2.3333333333333335,0.0
7,320.0,0.0,0.0,0.0
7,441.0,0.0,0.0,0.0
7,478.0,0.0,0.0,0.0
7,465.0,93.92857142857143,0.0,0.0
7,471.0,0.0,0.0,0.0
7,409.0,8.074074074074074,0.0,0.0
7,477.0,8.181818181818182,0.0,0.0
7,493.0,0.0,5.333333333333333,0.0
7,474.0,0.0,3.111111111111111,0.0
7,445.0,0.0,0.0,0.0
7,448.0,0.0,0.0,0.0
7,299.0,45.583333333333336,0.0,0.0
7,454.0,0.0,0.0,0.0
7,451.0,23.75,0.0,0.0
7,367.0,0.0,7.0,0.0
7,404.0,0.0,0.0,0.0
7,459.0,0.0,0.0,0.0
7,376.0,0.0,13.6,0.0
7,479.0,0.4606741573033708,0.0,0.0
7,403.0,0.0,0.0,0.0
7,338.0,0.0,0.0,0.0
7,271.0,0.0,0.0,0.0
7,460.0,0.0,0.0,0.0
7,375.0,1.2894736842105263,26.23076923076923,0.0
7,383.0,3.0526315789473686,0.0,0.0
7,337.0,13.64864864864865,0.0,0.0
7,415.0,0.0,0.0,0.0
7,476.0,1.8125,0.0,0.0
7,419.0,1.6666666666666667,0.0,0.0
7,354.0,0.0,0.0,0.0
7,455.0,65.1,0.0,0.0
7,355.0,0.0,7.0,0.0
7,458.0,0.0,0.0,0.0
7,304.0,161.33333333333334,0.0,0.0
7,292.0,0.0,0.0,0.0
7,353.0,0.0,0.0,0.0
7,435.0,36.0,0.0,0.0
7,457.0,0.5555555555555556,0.0,0.0
7,307.0,0.0,0.0,0.0
7,470.0,0.0,0.0,0.0
7,488.0,0.0,7.0,0.0
7,395.0,0.0,0.0,0.0
7,439.0,0.0,0.0,0.0
7,326.0,0.0,0.0,0.0
7,335.0,0.0,0.0,0.0
7,423.0,0.0,0.0,0.0
7,401.0,276.5,0.0,0.0
7,352.0,0.0,0.0,0.0
7,295.0,0.0,0.0,0.0
7,362.0,20.0,0.0,0.0
7,374.0,0.0,3.0,0.0
7,327.0,0.0,0.0,0.0
7,408.0,0.0,0.0,0.0
7,444.0,0.0,0.0,0.0
7,432.0,10.857142857142858,0.0,0.0
7,397.0,0.0,0.0,0.0
7,347.0,0.0,0.0,0.0
7,306.0,0.0,0.0,0.0
7,405.0,0.0,0.0,0.0
7,323.0,0.0,0.0,0.0
7,473.0,0.0,0.0,0.0
7,247.0,0.0,0.0,0.0
7,361.0,0.0,0.0,0.0
7,449.0,0.0,0.0,0.0
7,373.0,0.0,0.0,0.0
7,380.0,0.0,0.0,0.0
7,442.0,0.0,0.0,0.0
7,417.0,0.0,0.0,0.0
7,429.0,0.0,0.0,0.0
7,402.0,0.0,0.0,0.0
7,372.0,0.0,0.0,0.0
7,267.0,0.0,0.0,0.0
7,452.0,0.0,0.0,0.0
7,412.0,0.0,0.0,0.0
7,461.0,0.0,0.0,0.0
7,427.0,0.0,0.0,0.0
7,422.0,0.0,0.0,0.0
7,377.0,0.0,0.0,0.0
7,334.0,0.0,0.0,0.0
7,305.0,59.666666666666664,0.0,0.0
7,269.0,13.4,0.0,0.0
7,426.0,0.0,0.0,0.0
7,283.0,0.0,0.0,0.0
7,489.0,64.0,0.0,0.0
7,450.0,0.0,0.0,0.0
7,357.0,0.0,0.0,0.0
7,341.0,0.0,0.0,0.0
7,407.0,0.0,0.0,0.0
7,446.0,0.0,0.0,0.0
7,413.0,0.0,0.0,0.0
7,416.0,0.0,0.0,0.0
8,454.0,1.4583333333333333,0.13333333333333333,0.0
7,438.0,0.0,0.0,0.0
8,449.0,27.61764705882353,0.0625,0.0
7,311.0,0.0,0.0,0.0
7,319.0,0.0,0.0,0.0
7,290.0,337.0,0.0,0.0
8,441.0,0.39166666666666666,3.511111111111111,0.0
8,446.0,0.0,0.0,0.0
8,438.0,0.0,0.0,0.0
8,474.0,9.983827493261456,2.305084745762712,0.0
8,378.0,0.0,0.0,0.0
8,347.0,0.0,0.0,0.0
8,459.0,0.0,0.38095238095238093,0.0
8,479.0,2.9655172413793105,0.0975609756097561,0.0
8,401.0,3.25,0.8823529411764706,0.0
8,292.0,0.0,1.3636363636363635,0.0
8,427.0,3.1607142857142856,0.7674418604651163,0.0
8,299.0,94.65671641791045,2.130434782608696,0.0
8,435.0,0.0,1.0769230769230769,0.0
