hour,numPassengers,vkt
7,0,12.177
7,1,2474.537
8,0,2679.9500000000003
8,1,48666.451
9,0,819.3409999999999
9,1,19169.155000000002
10,0,1995.5510000000002
10,1,30673.59
11,0,361.418
11,1,48191.505999999994
12,0,5401.213
12,1,69224.08300000001
13,0,11692.931000000008
13,1,84138.983
14,0,5908.774
14,1,193256.09399999998
15,0,5394.396999999998
15,1,161125.10600000003
16,0,15897.858
16,1,493009.32699999976
17,0,20050.709000000003
17,1,693766.1299999997
18,0,29945.42399999999
18,1,707818.9059999998
19,0,27363.184999999994
19,1,762422.2479999999
20,0,18967.048999999995
20,1,755612.9239999996
21,0,25684.84799999999
21,1,771162.4119999995
22,0,20198.874999999993
22,1,597726.896
23,0,13017.828000000001
23,1,367182.623
24,0,62761.198999999964
24,1,1158564.5279999997
25,0,10279.637999999997
25,1,296544.72399999993
26,0,8381.676
26,1,38651.654
27,0,1405.067
27,1,22443.927
28,0,2268.384
28,1,9314.176
29,0,3008.751
29,1,11303.782
