hours,car,drive_transit,others,ride_hail,walk,walk_transit
1,0,0,0,0,0,0
2,0,0,0,0,0,0
3,0,0,0,0,0,0
4,0,0,0,0,0,0
5,0,0,0,0,0,0
6,0,0,0,0,0,0
7,2,0,0,0,0,0
8,819,0,0,3,0,0
9,4634,8,0,22,85,10
10,2270,6,0,10,67,4
11,500,0,0,8,49,10
12,465,1,0,18,36,6
13,553,0,0,38,62,12
14,630,0,0,35,137,28
15,692,0,0,47,222,47
16,614,1,0,69,321,64
17,758,0,17,124,451,75
18,2045,0,0,169,404,72
19,2995,1,31,153,559,68
20,2414,0,0,162,655,76
21,1458,0,50,145,610,59
22,774,0,0,120,492,55
23,324,0,12,95,437,53
24,95,0,0,74,337,36
25,47,0,9,185,658,0
26,1,0,0,17,14,0
27,1,0,0,7,1,0
28,0,0,0,3,0,0
29,1,0,0,2,0,0
30,8,0,0,0,1,0
