personId,x,y,actType
100-2012000131467-02126,-96.72139545275729,43.57727172557207,Home
100-2012000131467-02126,-96.71985565512402,43.55731010048435,Work
100-2012000131467-02126,-96.72139545275729,43.57727172557207,Home
100-2012000131467-02169,-96.72139545275729,43.57727172557207,Home
100-2012000131467-02169,-96.7650614497886,43.55475325813126,Work
100-2012000131467-02169,-96.72139545275729,43.57727172557207,Home
100-2012000131467-02212,-96.72139545275729,43.57727172557207,Home
100-2012000131467-02212,-96.71145780156183,43.56547845029323,Work
100-2012000131467-02212,-96.72139545275729,43.57727172557207,Home
100-2012000131467-02255,-96.72139545275729,43.57727172557207,Home
100-2012000131467-02255,-96.71780921405403,43.55506158514624,Work
100-2012000131467-02255,-96.72139545275729,43.57727172557207,Home
100-2012000131467-02298,-96.72139545275729,43.57727172557207,Home
100-2012000131467-02298,-96.73289799845078,43.56589296054159,Secondary
100-2012000131467-02298,-96.72139545275729,43.57727172557207,Home
100-2012000131467-02341,-96.72139545275729,43.57727172557207,Home
100-2012000131467-02341,-96.75867422286876,43.543911230868176,Secondary
100-2012000131467-02341,-96.72139545275729,43.57727172557207,Home
100-2012000131467-02384,-96.72139545275729,43.57727172557207,Home
100-2012000131467-02384,-96.75867422286876,43.543911230868176,Secondary
100-2012000131467-02384,-96.72139545275729,43.57727172557207,Home
100-2012000131467-02427,-96.72139545275729,43.57727172557207,Home
100-2012000131467-02427,-96.77113424979824,43.5814420502335,Secondary
100-2012000131467-02427,-96.72139545275729,43.57727172557207,Home
100-2012000131467-02470,-96.72139545275729,43.57727172557207,Home
100-2012000131467-02470,-96.75867422286876,43.543911230868176,Secondary
100-2012000131467-02470,-96.72139545275729,43.57727172557207,Home
100-2012000131467-02513,-96.72139545275729,43.57727172557207,Home
100-2012000131467-02513,-96.71140117635072,43.55664375074694,Secondary
100-2012000131467-02513,-96.72139545275729,43.57727172557207,Home
100-2012000184824-03590,-96.74370719922635,43.563445671495245,Home
100-2012000184824-03590,-96.73347629942549,43.54599037065211,Work
100-2012000184824-03590,-96.74370719922635,43.563445671495245,Home
100-2012000217991-04272,-96.71136700229236,43.58874905040353,Home
100-2012000217991-04272,-96.71386784597705,43.58744900656794,Work
100-2012000217991-04272,-96.71136700229236,43.58874905040353,Home
100-2012000217991-04316,-96.71136700229236,43.58874905040353,Home
100-2012000217991-04316,-96.71140117635072,43.55664375074694,Work
100-2012000217991-04316,-96.71136700229236,43.58874905040353,Home
100-2012000217991-04360,-96.71136700229236,43.58874905040353,Home
100-2012000217991-04360,-96.74439127235154,43.55119420259576,Secondary
100-2012000217991-04360,-96.71136700229236,43.58874905040353,Home
100-2012000217991-04404,-96.71136700229236,43.58874905040353,Home
100-2012000217991-04404,-96.71137240109657,43.585603350251894,Secondary
100-2012000217991-04404,-96.71136700229236,43.58874905040353,Home
100-2012000217991-04448,-96.71136700229236,43.58874905040353,Home
100-2012000217991-04448,-96.71137240109657,43.585603350251894,Secondary
