iteration,vehicleType,vehicleMilesTraveled,vehicleHoursTraveled,numberOfVehicles
0,siouxareametro-sd-us:1351,0.0,0.0,1.0
0,siouxareametro-sd-us:1341,0.0,0.0,3.0
0,siouxareametro-sd-us:1345,0.0,0.0,2.0
0,siouxareametro-sd-us:1340,0.0,0.0,3.0
0,siouxareametro-sd-us:1347,0.0,0.0,1.0
0,BODY-TYPE-DEFAULT,0.0,703.0983333333334,996.0
0,BUS-DEFAULT,2653.970432280888,157.43333333333334,255.0
0,siouxareametro-sd-us:1346,0.0,0.0,3.0
0,siouxareametro-sd-us:1342,0.0,0.0,3.0
0,PHEV,73.8282026432002,5.793333333333333,9.0
0,BEV,127.07903277477371,10.252222222222223,23.0
0,siouxareametro-sd-us:1349,0.0,0.0,3.0
0,siouxareametro-sd-us:1343,0.0,0.0,2.0
0,BUS-STD-ART,0.0,0.0,0.0
0,CAR-TYPE-DEFAULT,289.22839543454586,23.68777777777778,61.0
0,BUS-STD-HD,0.0,0.0,0.0
0,siouxareametro-sd-us:1350,0.0,0.0,2.0
0,BUS-SMALL-HD,0.0,0.0,0.0
0,siouxareametro-sd-us:1348,0.0,0.0,2.0
0,siouxareametro-sd-us:1344,0.0,0.0,2.0
1,siouxareametro-sd-us:1351,0.0,0.0,1.0
1,siouxareametro-sd-us:1341,0.0,0.0,3.0
1,siouxareametro-sd-us:1345,0.0,0.0,2.0
1,siouxareametro-sd-us:1340,0.0,0.0,3.0
1,siouxareametro-sd-us:1347,0.0,0.0,1.0
1,BODY-TYPE-DEFAULT,0.0,709.7333333333333,996.0
1,BUS-DEFAULT,2653.9704322808884,157.43333333333334,255.0
1,siouxareametro-sd-us:1346,0.0,0.0,3.0
1,siouxareametro-sd-us:1342,0.0,0.0,3.0
1,PHEV,65.09564267178816,5.1433333333333335,9.0
1,BEV,139.5867166461596,11.036944444444444,25.0
1,siouxareametro-sd-us:1349,0.0,0.0,3.0
1,siouxareametro-sd-us:1343,0.0,0.0,2.0
1,BUS-STD-ART,0.0,0.0,0.0
1,CAR-TYPE-DEFAULT,251.7158630132975,22.115555555555556,54.0
1,BUS-STD-HD,0.0,0.0,0.0
1,siouxareametro-sd-us:1350,0.0,0.0,2.0
1,BUS-SMALL-HD,0.0,0.0,0.0
1,siouxareametro-sd-us:1348,0.0,0.0,2.0
1,siouxareametro-sd-us:1344,0.0,0.0,2.0
